;0,1749735;0,577156;2,742113;0,197283;0,03219612;2,7212;0,1994599;0,08234391;2,778046;0,2011061;0,39742;2,792967;0,05426458;0,3892611;2,785284;-0,04726948;0,6195089;2,634919;-0,05366267;0,8463808;2,565866;-0,03340095;0,9193351;2,557718;0,383616;0,2859696;2,74981;0,4276854;0,01550394;2,695824;0,4231927;-0,1919632;2,605419;0,4182729;-0,2883937;2,569472;0,119402;-0,03607801;2,704934;0,05979258;-0,4905417;2,690785;-0,03072401;-0,8582365;2,660387;-0,09881341;-0,9138403;2,590946;0,2739198;-0,0497739;2,703715;0,3762603;-0,4818026;2,692731;0,4710435;-0,8425047;2,715733;0,5529035;-0,9024896;2,660475; 
0,1747639;0,57524;2,743063;0,1983728;0,02954935;2,721365;0,2008098;0,07993437;2,77829;0,2020242;0,3965431;2,793508;0,05376733;0,388965;2,785768;-0,0471218;0,584726;2,648635;-0,05959491;0,7960539;2,570482;-0,04522876;0,8699794;2,558841;0,380838;0,2900925;2,749797;0,4261782;0,01242467;2,694049;0,4218866;-0,1957973;2,605629;0,4179605;-0,2920604;2,568925;0,1208051;-0,03959507;2,705764;0,05975626;-0,4907124;2,690812;-0,03058058;-0,8580571;2,660126;-0,09411146;-0,9133271;2,593278;0,2744727;-0,05089679;2,703273;0,3762422;-0,4817975;2,692756;0,4709822;-0,8424373;2,715689;0,5536038;-0,9029062;2,659543; 
0,175003;0,5748168;2,743689;0,1986442;0,02902754;2,72159;0,2016006;0,07909033;2,778562;0,2079945;0,3955605;2,794925;0,05292168;0,3876433;2,787465;-0,04938388;0,5521712;2,654605;-0,06031694;0,767478;2,574671;-0,04750117;0,8398718;2,554326;0,3837154;0,2883549;2,750178;0,4259261;0,01249418;2,694008;0,4217297;-0,1956644;2,605704;0,417885;-0,2920552;2,569024;0,1203191;-0,04086751;2,706516;0,05973627;-0,4912174;2,690956;-0,03069287;-0,8580951;2,65998;-0,09437599;-0,9133242;2,592719;0,2747189;-0,05261923;2,702632;0,3763226;-0,4817989;2,692796;0,47092;-0,8423139;2,715824;0,5504161;-0,9017164;2,661203; 
0,172474;0,5774065;2,746416;0,2013678;0,03834459;2,72506;0,2039108;0,08562992;2,781218;0,2081658;0,3955047;2,79512;0,04949837;0,3875577;2,788617;-0,05116211;0,5507246;2,652351;-0,05949068;0,7677108;2,568812;-0,04647672;0,8378054;2,541512;0,3851025;0,2893913;2,751449;0,4248981;0,01163094;2,69338;0,4221351;-0,1968881;2,606267;0,4183952;-0,2932232;2,56921;0,1231056;-0,03571538;2,704642;0,0596825;-0,4914709;2,690992;-0,03150712;-0,8592436;2,660014;-0,09532446;-0,913874;2,592102;0,2765973;-0,04320928;2,711234;0,3765018;-0,4820299;2,692673;0,4708541;-0,8425571;2,715801;0,5542765;-0,9040723;2,658242; 
0,1522576;0,5709124;2,688966;0,1984312;-0,02413062;2,699518;0,1965193;0,03569342;2,75537;0,1808187;0,3905789;2,766508;0,01187996;0,2743542;2,746182;-0,01929049;0,02047257;2,693726;-0,0252703;0,244037;2,599551;-0,01255248;0,3132428;2,569882;0,3604238;0,2847912;2,736785;0,4135047;0,01457241;2,69027;0,4117118;-0,1954234;2,607266;0,412787;-0,2933017;2,574208;0,126922;-0,1045343;2,68777;0,04860016;-0,5479318;2,706203;-0,03171842;-0,8593575;2,660164;-0,09555713;-0,9139305;2,591961;0,2775419;-0,09450332;2,683334;0,3791679;-0,5108085;2,706756;0,4709188;-0,8425461;2,715744;0,5546871;-0,904196;2,658076; 
0,1520867;0,5719566;2,689609;0,1985334;-0,02407973;2,699535;0,1967328;0,03579772;2,7554;0,1808603;0,3908195;2,766488;0,01216858;0,2738085;2,746271;-0,018872;0,02035206;2,693493;-0,02485181;0,2439165;2,599314;-0,01213646;0,3131088;2,56965;0,3596465;0,2850772;2,736536;0,4110904;0,01619421;2,689872;0,4041313;-0,1941798;2,60821;0,4110796;-0,292162;2,576253;0,1269644;-0,1044947;2,687797;0,04869834;-0,5476955;2,706048;-0,03169081;-0,8592365;2,660203;-0,09553759;-0,9139212;2,59199;0,2776785;-0,09442937;2,683287;0,3792518;-0,5132175;2,708742;0,471081;-0,8427171;2,716081;0,5548146;-0,9041854;2,658035; 
0,1513302;0,5753024;2,690421;0,1985499;-0,02395497;2,699526;0,1968544;0,03602307;2,755374;0,1809724;0,3911353;2,765851;0,01215861;0,2738911;2,746244;-0,01845774;0,02041383;2,693147;-0,02443756;0,2439783;2,598964;-0,01171914;0,3131873;2,569294;0,3588215;0,2856559;2,736114;0,4088115;0,01721258;2,688949;0,401475;-0,1938978;2,6095;0,4078918;-0,2927899;2,580271;0,1269273;-0,1044238;2,687766;0,04837897;-0,5478568;2,706023;-0,03188096;-0,8594356;2,660094;-0,09555751;-0,9139308;2,591974;0,2776861;-0,09429866;2,683335;0,3792927;-0,5133019;2,708933;0,4708574;-0,8425597;2,716212;0,5530733;-0,9021511;2,661024; 
0,1512819;0,5748122;2,690793;0,1985371;-0,02394684;2,69953;0,1969239;0,03605638;2,755378;0,1808993;0,3912817;2,765767;0,01212466;0,2739722;2,74625;-0,01851772;0,02039339;2,693022;-0,02449754;0,2439578;2,598835;-0,0117725;0,3132029;2,569149;0,3571841;0,2848075;2,735469;0,4077377;0,01763105;2,688617;0,4012826;-0,1935207;2,609093;0,4070117;-0,2926347;2,580285;0,1268984;-0,1044016;2,687736;0,04845534;-0,5479096;2,705816;-0,03199275;-0,8592558;2,660182;-0,09555611;-0,9139311;2,591968;0,2776401;-0,09426416;2,683335;0,3791628;-0,5135469;2,709099;0,4709641;-0,8420483;2,716055;0,5530698;-0,9021737;2,660887; 
0,1505487;0,5748823;2,690525;0,1985556;-0,02387401;2,69952;0,1969573;0,03613259;2,755387;0,1809278;0,3913613;2,765817;0,01212788;0,2739202;2,746301;-0,01843369;0,02072717;2,69308;-0,02441351;0,2442916;2,598889;-0,01168382;0,3135619;2,569192;0,3568371;0,2851118;2,735652;0,4065167;0,01890895;2,688128;0,3991148;-0,1925455;2,609578;0,4063621;-0,2916276;2,580867;0,1268725;-0,1043164;2,68766;0,04848773;-0,5478809;2,705796;-0,03198416;-0,859254;2,660211;-0,09556366;-0,9138974;2,591983;0,2776521;-0,09418546;2,683308;0,3791527;-0,5110232;2,708554;0,4708918;-0,8419707;2,716482;0,5510241;-0,9022921;2,662018; 
0,1497034;0,5764553;2,691614;0,1984885;-0,0237856;2,699475;0,1969891;0,03636206;2,755331;0,1808386;0,3921227;2,765168;0,01207588;0,2740153;2,746328;-0,01835822;0,02070313;2,693102;-0,02433804;0,2442676;2,598907;-0,01160677;0,3135466;2,569206;0,3558713;0,2853384;2,735169;0,4061726;0,01869477;2,688098;0,3988804;-0,1927699;2,609466;0,4068548;-0,2919862;2,581371;0,1267681;-0,1041639;2,68762;0,04935283;-0,5350415;2,704318;-0,03202671;-0,8588707;2,660795;-0,0957504;-0,9136605;2,592154;0,2775203;-0,09409937;2,683279;0,3815285;-0,5160229;2,710854;0,471301;-0,8419405;2,716605;0,5510777;-0,90272;2,661921; 
0,149556;0,5765577;2,691699;0,198483;-0,02374269;2,699468;0,1970291;0,03639456;2,755339;0,1807632;0,3921345;2,765204;0,01201458;0,2741077;2,74639;-0,01830207;0,02076708;2,693044;-0,02428189;0,2443315;2,598845;-0,01154824;0,3136234;2,569138;0,3553227;0,2849709;2,734867;0,4060269;0,01873311;2,688137;0,3998789;-0,1928168;2,609569;0,4061916;-0,2923267;2,582025;0,1267612;-0,104065;2,68754;0,0493669;-0,5398799;2,704371;-0,03347064;-0,8600447;2,659497;-0,09574659;-0,9137444;2,592037;0,2775052;-0,0940655;2,683273;0,3814479;-0,5160618;2,710781;0,4713047;-0,8418719;2,716764;0,5507376;-0,9023572;2,662586; 
0,1496704;0,5764621;2,69189;0,1985947;-0,02369688;2,699465;0,1971638;0,03644896;2,755344;0,180798;0,3921499;2,765186;0,01209509;0,2740499;2,746498;-0,01817916;0,02093977;2,692813;-0,02415898;0,2445042;2,598609;-0,01142316;0,3138079;2,568897;0,3553507;0,2852549;2,735;0,4059212;0,01888706;2,688215;0,3992992;-0,1927314;2,60982;0,406311;-0,29223;2,582338;0,1269073;-0,1040621;2,687411;0,04881369;-0,5430954;2,704289;-0,03350467;-0,8602648;2,659966;-0,09565338;-0,9136813;2,592391;0,2775878;-0,09401383;2,683334;0,3801989;-0,5127458;2,709733;0,4711425;-0,8419629;2,7168;0,5515779;-0,9020663;2,662135; 
0,1478897;0,5776002;2,692069;0,1985166;-0,02362337;2,699385;0,1970694;0,03654424;2,755282;0,1807777;0,392311;2,764989;0,0118978;0,2742645;2,746213;-0,01807792;0,02086414;2,692781;-0,02405774;0,2444286;2,598572;-0,01131883;0,3137491;2,568854;0,3550088;0,2852458;2,735034;0,4058747;0,01893851;2,68831;0,3993015;-0,1926838;2,609829;0,406831;-0,2924125;2,583238;0,1267114;-0,1038698;2,687167;0,04783621;-0,5459998;2,704975;-0,03371562;-0,8604946;2,659787;-0,09616572;-0,9137164;2,592335;0,2775098;-0,09400313;2,683326;0,3803754;-0,5137067;2,709897;0,4709755;-0,842137;2,717277;0,5516464;-0,9020182;2,662327; 
0,1467971;0,5760186;2,693893;0,1985206;-0,02370746;2,699286;0,1970874;0,03650953;2,755206;0,1800883;0,3921705;2,764632;0,01199351;0,2741146;2,746393;-0,01758964;0,02040821;2,692667;-0,02356946;0,2439727;2,598454;-0,01082711;0,3133119;2,568728;0,3547351;0,2850454;2,734902;0,4056067;0,0190033;2,688381;0,3999818;-0,1925714;2,609567;0,4064484;-0,2925088;2,583374;0,1267625;-0,1039876;2,686965;0,0478068;-0,546865;2,704745;-0,03368832;-0,8605269;2,659797;-0,09616559;-0,913718;2,592349;0,2775263;-0,09401503;2,683319;0,3802889;-0,5137405;2,710013;0,4709342;-0,8420899;2,717274;0,5515026;-0,90214;2,662373; 
0,1461577;0,5753911;2,69484;0,1985312;-0,02370402;2,699289;0,1971196;0,03651376;2,755223;0,1800918;0,3921787;2,764658;0,01202876;0,2738919;2,746456;-0,017528;0,02005413;2,692686;-0,02350782;0,2436186;2,598468;-0,01076294;0,3129716;2,568736;0,3548127;0,28512;2,734886;0,405386;0,01887439;2,688374;0,4024083;-0,1924971;2,608642;0,4072006;-0,292572;2,582534;0,1267563;-0,1040583;2,68689;0,04765074;-0,5471511;2,704696;-0,03367282;-0,8607041;2,659985;-0,09607864;-0,9135882;2,592219;0,2775389;-0,09400884;2,683326;0,3796236;-0,5118167;2,709397;0,4710578;-0,8420402;2,717362;0,5516298;-0,9019502;2,662093; 
0,1460682;0,5753219;2,695004;0,1985222;-0,02386364;2,699265;0,1971497;0,03639593;2,755244;0,180062;0,3921499;2,764788;0,01200989;0,2737906;2,746344;-0,01749739;0,02004543;2,692731;-0,0234772;0,2436099;2,598509;-0,01072926;0,3129796;2,56877;0,3544031;0,2840599;2,734405;0,4043241;0,01749165;2,687768;0,4029333;-0,1940455;2,608421;0,4069736;-0,2941862;2,582338;0,1267265;-0,1041585;2,686746;0,04768504;-0,5470865;2,704709;-0,03325589;-0,8605796;2,660228;-0,09638032;-0,9132151;2,592333;0,2775191;-0,09426089;2,683351;0,3798776;-0,5126205;2,710219;0,4710139;-0,8414922;2,71734;0,5503001;-0,901129;2,661952; 
0,1448837;0,5741656;2,697192;0,1985324;-0,02386373;2,699295;0,1971886;0,03637439;2,755292;0,1800255;0,3920734;2,764967;0,01184123;0,2728142;2,746589;-0,0174712;0,0199948;2,692737;-0,02345102;0,2435593;2,598511;-0,01069955;0,3129481;2,568764;0,3543143;0,2839882;2,734661;0,404231;0,01750538;2,687766;0,4022189;-0,1941192;2,608637;0,4065772;-0,2943463;2,582825;0,1267316;-0,1041917;2,686747;0,04792633;-0,5471069;2,704577;-0,03299242;-0,8605797;2,660164;-0,09628548;-0,9132214;2,592204;0,2775499;-0,09424362;2,683389;0,3795578;-0,5114198;2,709975;0,4710019;-0,8414487;2,717454;0,5447801;-0,8985661;2,666337; 
0,1442691;0,5754836;2,697839;0,1985335;-0,02386619;2,699318;0,1972177;0,03637589;2,755325;0,1801718;0,3922755;2,76504;0,011985;0,272888;2,746705;-0,01750735;0,02000877;2,692708;-0,02348716;0,2435732;2,598478;-0,01073188;0,3129829;2,568722;0,3542033;0,2839139;2,73463;0,4042611;0,01741677;2,687973;0,402101;-0,1942021;2,60875;0,4068424;-0,2943072;2,582413;0,1267331;-0,1041798;2,686771;0,04790644;-0,5471379;2,70461;-0,03313372;-0,8605856;2,659941;-0,09630089;-0,9132513;2,592163;0,2775256;-0,09424683;2,683409;0,3795756;-0,5119522;2,710097;0,4708022;-0,8409454;2,718138;0,5455308;-0,8991867;2,66571; 
0,1444452;0,5758399;2,697648;0,1985256;-0,02376683;2,699402;0,1972122;0,03647309;2,755442;0,1801016;0,3923669;2,765221;0,01197982;0,2728815;2,746668;-0,01741919;0,02004057;2,692724;-0,023399;0,243605;2,59849;-0,01064139;0,3130274;2,568728;0,354294;0,2841613;2,734649;0,404241;0,01748238;2,688085;0,4019281;-0,1942492;2,609149;0,4048467;-0,2942888;2,58223;0,1267066;-0,104132;2,686821;0,04788653;-0,547197;2,704684;-0,03311967;-0,860622;2,659926;-0,09665696;-0,9135126;2,592116;0,2775365;-0,09418845;2,683464;0,3794126;-0,5128142;2,710179;0,4708343;-0,8409562;2,718143;0,5521026;-0,9011476;2,664668; 
0,1446293;0,5757455;2,697942;0,1985522;-0,02385647;2,699464;0,1972654;0,03638017;2,755532;0,1799748;0,3923309;2,765473;0,01218359;0,2722657;2,746893;-0,01726791;0,01995492;2,692984;-0,02324773;0,2435194;2,598747;-0,01048826;0,3129519;2,568981;0,3540735;0,283948;2,73473;0,4041776;0,01722696;2,688046;0,4018854;-0,194516;2,609074;0,4049282;-0,2945237;2,581993;0,1267401;-0,1041751;2,686874;0,04801574;-0,5473679;2,704539;-0,03318571;-0,8606377;2,660066;-0,09666208;-0,9136975;2,592082;0,2775485;-0,09421971;2,683496;0,3791729;-0,5119336;2,709968;0,4707859;-0,840876;2,718137;0,5509787;-0,899623;2,664943; 
0,1449495;0,5777483;2,698013;0,1985698;-0,02388354;2,699528;0,1974208;0,03629221;2,755662;0,1807051;0,3930025;2,766483;0,01251934;0,2726964;2,747345;-0,01729979;0,02052134;2,693663;-0,02327961;0,2440858;2,599422;-0,01051683;0,3135362;2,569649;0,3535051;0,2839549;2,734577;0,4038396;0,01751371;2,687983;0,401022;-0,19433;2,60929;0,4047079;-0,2944635;2,582654;0,1267625;-0,1041388;2,686953;0,04805043;-0,5457127;2,704258;-0,03345172;-0,8607363;2,660197;-0,09676048;-0,9138414;2,592108;0,2774957;-0,09419569;2,683527;0,3801844;-0,5146968;2,710546;0,4707051;-0,8404729;2,718483;0,5505273;-0,8989505;2,66488; 
0,1451732;0,577355;2,698417;0,1985568;-0,024248;2,699634;0,197389;0,03588485;2,755809;0,1802952;0,3922451;2,766704;0,01281479;0,2723424;2,747393;-0,01744351;0,02058269;2,694038;-0,02342331;0,2441471;2,599794;-0,01065656;0,3136191;2,570011;0,3532369;0,283455;2,734617;0,4049122;0,01638887;2,688923;0,4005635;-0,1949826;2,608732;0,4045269;-0,2951383;2,582094;0,1267774;-0,1042898;2,687046;0,04962426;-0,5360366;2,702504;-0,03346761;-0,8607353;2,660219;-0,09683535;-0,9140404;2,59199;0,2774778;-0,09442666;2,683583;0,3795423;-0,512429;2,709727;0,4708579;-0,8407689;2,718235;0,5505128;-0,8991482;2,664482; 
0,1457176;0,5781274;2,698406;0,1987805;-0,02455341;2,699851;0,1976091;0,03567023;2,756052;0,180303;0,3922379;2,766872;0,01298966;0,2719895;2,747439;-0,017425;0,02060119;2,694028;-0,0234048;0,2441656;2,59978;-0,01063412;0,313659;2,569988;0,3530392;0,283309;2,734532;0,404501;0,01654362;2,688949;0,399924;-0,1949264;2,609024;0,4055932;-0,29514;2,582793;0,1270056;-0,1044156;2,687249;0,05003285;-0,5375365;2,702523;-0,03317735;-0,8604756;2,660395;-0,09677741;-0,9140483;2,592003;0,2776589;-0,09469992;2,683776;0,3793228;-0,5097187;2,708666;0,4709802;-0,8406706;2,718272;0,5504416;-0,8990571;2,664438; 
0,1456905;0,5783353;2,698806;0,198896;-0,02438076;2,700013;0,1977883;0,03586054;2,756221;0,1805958;0,3923451;2,766861;0,01303891;0,2719516;2,74759;-0,0175356;0,02080681;2,694589;-0,0235154;0,2443712;2,600337;-0,01075317;0,3138186;2,570565;0,3531912;0,2838086;2,734663;0,4043151;0,01661355;2,689006;0,3942998;-0,195564;2,611923;0,4073563;-0,2744249;2,590246;0,1270663;-0,1043253;2,687432;0,049114;-0,5418508;2,702994;-0,03317625;-0,860464;2,660256;-0,09678632;-0,9140587;2,59196;0,2777358;-0,09452065;2,683922;0,3795925;-0,5110373;2,709312;0,4708334;-0,8402995;2,718395;0,5504543;-0,8979889;2,664996; 
0,145998;0,5786247;2,69961;0,1988682;-0,02453508;2,700105;0,1978874;0,03571449;2,756348;0,1805753;0,3922709;2,76712;0,01341878;0,2718692;2,748403;-0,01774984;0,02190136;2,695622;-0,02372964;0,2454658;2,601367;-0,01096946;0,314902;2,5716;0,3529636;0,2831819;2,734601;0,4042483;0,01653991;2,689074;0,3951554;-0,1955538;2,611532;0,4054292;-0,2951044;2,584525;0,1270589;-0,1043335;2,687458;0,05032097;-0,5290823;2,702762;-0,0321337;-0,8590454;2,660169;-0,09681232;-0,9137864;2,592077;0,2776637;-0,09469572;2,684044;0,3791198;-0,5096691;2,708816;0,4716931;-0,8404973;2,719642;0,5505202;-0,8980529;2,664964; 
