;-0,03548685;0,3499685;2,606393;-0,05473561;-0,2195317;2,493217;-0,05968449;-0,1678863;2,547841;-0,06554536;0,15531;2,56964;-0,2409961;0,08619485;2,56346;-0,5105821;0,07716082;2,5573;-0,7217549;0,1141653;2,495303;-0,7594126;0,1314071;2,486977;0,1044646;0,04423955;2,578372;0,1226827;-0,2220062;2,529638;0,1354785;-0,4254121;2,434235;0,1397144;-0,4866532;2,395236;-0,1295973;-0,2917214;2,463942;-0,1604914;-0,6634887;2,380277;-0,1244008;-0,9107515;2,362642;-0,1737511;-0,9750212;2,352193;0,02409237;-0,3010643;2,485579;0,04220475;-0,6582312;2,383311;0,006622933;-0,9120046;2,359875;0,004647681;-0,9504545;2,271803; 
-0,03499356;0,3499301;2,605983;-0,05474019;-0,2191171;2,492761;-0,05952611;-0,1674127;2,547381;-0,06426875;0,1553084;2,56824;-0,241437;0,0869111;2,562604;-0,5103456;0,07728541;2,556069;-0,72148;0,1138926;2,49289;-0,7586259;0,1311038;2,484864;0,1046861;0,044198;2,577108;0,1227456;-0,2226415;2,529126;0,1355922;-0,4261357;2,433508;0,1398198;-0,4872069;2,394612;-0,1298511;-0,2912906;2,463513;-0,1604708;-0,6635413;2,380228;-0,1245385;-0,9108689;2,36259;-0,175031;-0,9741654;2,352412;0,02408662;-0,3009413;2,485296;0,0420412;-0,6579811;2,383312;0,00682164;-0,9118538;2,359859;0,004870289;-0,9502556;2,271888; 
-0,03383367;0,3507348;2,605045;-0,05473807;-0,2190141;2,492482;-0,05938861;-0,1672375;2,547126;-0,06418651;0,155763;2,567878;-0,2416178;0,08740321;2,561544;-0,5096592;0,07731093;2,554945;-0,7207395;0,1141067;2,490982;-0,7588701;0,1314597;2,482836;0,104387;0,04388692;2,574898;0,1221344;-0,2242305;2,527809;0,1357366;-0,428071;2,432732;0,1399537;-0,4889838;2,393937;-0,129907;-0,2912146;2,463136;-0,1605343;-0,6633559;2,38013;-0,1246431;-0,9105349;2,362506;-0,174496;-0,9740961;2,351613;0,02411895;-0,3008564;2,485165;0,04217149;-0,6578979;2,383262;0,006788938;-0,9118905;2,359825;0,00456852;-0,9502187;2,271951; 
-0,03397818;0,3503793;2,604372;-0,05462015;-0,2186643;2,492193;-0,05930037;-0,1668863;2,546851;-0,06394269;0,1560468;2,567611;-0,2418259;0,0877188;2,560867;-0,5094582;0,07743154;2,554152;-0,7205181;0,1141526;2,489375;-0,7584316;0,1314782;2,481403;0,1046662;0,04437761;2,574719;0,1220604;-0,2244724;2,527553;0,1356881;-0,4284335;2,432353;0,1398955;-0,4891888;2,393657;-0,1299161;-0,2909941;2,462895;-0,1605819;-0,6632965;2,380018;-0,1246165;-0,9098972;2,362102;-0,1737382;-0,9739423;2,351421;0,02432913;-0,300589;2,484886;0,04213327;-0,6579697;2,383182;0,006808115;-0,9118663;2,359785;0,004704006;-0,9501795;2,272021; 
-0,03300917;0,349592;2,602525;-0,05462399;-0,2187167;2,491947;-0,05918469;-0,1668899;2,546631;-0,06373587;0,1561755;2,567263;-0,2418717;0,0878891;2,560407;-0,5087469;0,0776682;2,553486;-0,7200705;0,1140332;2,488842;-0,7581891;0,1314533;2,48079;0,1043464;0,04429592;2,573485;0,1220418;-0,2262678;2,52659;0,1358131;-0,4304588;2,431547;0,1400105;-0,4910627;2,392948;-0,1299372;-0,2910373;2,462653;-0,1606177;-0,6633102;2,379981;-0,1247284;-0,9100838;2,362226;-0,1742714;-0,9738147;2,352377;0,0242957;-0,3006097;2,484747;0,0421371;-0,6578913;2,383114;0,006720641;-0,9116428;2,35951;0,00442954;-0,9498195;2,271815; 
-0,03353977;0,3484499;2,601312;-0,05461253;-0,2185358;2,491757;-0,0591955;-0,1667012;2,546442;-0,06377313;0,1563031;2,566983;-0,242079;0,08818971;2,560103;-0,5086012;0,07785201;2,552829;-0,7198349;0,1141137;2,487127;-0,757522;0,1314726;2,479342;0,104377;0,04423659;2,573243;0,1220217;-0,2262339;2,526586;0,1347543;-0,4411782;2,426233;0,138953;-0,5016228;2,387726;-0,1299619;-0,2909043;2,462469;-0,1605063;-0,6634776;2,379796;-0,1240188;-0,9112331;2,362558;-0,1819429;-0,9659317;2,346214;0,0243629;-0,3005056;2,484621;0,04203479;-0,6580305;2,382987;0,005984774;-0,9121793;2,359829;0,003574101;-0,9504994;2,272191; 
-0,03333474;0,348628;2,600605;-0,05455977;-0,2183551;2,491614;-0,05911996;-0,166521;2,546304;-0,06339867;0,1563613;2,566699;-0,2420343;0,08857443;2,55975;-0,5083868;0,07798574;2,552364;-0,7198117;0,114034;2,486674;-0,7572654;0,1313896;2,478938;0,1050513;0,04410996;2,572949;0,1220924;-0,2263009;2,526481;0,1342431;-0,4311989;2,432149;0,1384334;-0,491496;2,393738;-0,1300129;-0,2908136;2,462326;-0,1605001;-0,6634049;2,379683;-0,1240165;-0,9112206;2,362582;-0,1814711;-0,966358;2,346376;0,02443242;-0,3004359;2,484523;0,04210166;-0,6579812;2,382927;0,005937762;-0,9121805;2,35979;0,003537929;-0,9504815;2,272226; 
-0,0334266;0,348292;2,599157;-0,05420881;-0,2198187;2,490051;-0,05929058;-0,1676472;2,544878;-0,06278359;0,1564003;2,565768;-0,2368183;0,08003759;2,553488;-0,506813;-0,0238419;2,53171;-0,7129371;-0,06161657;2,448035;-0,77134;-0,04996211;2,424464;0,105653;0,04408683;2,572774;0,1225298;-0,2265702;2,526344;0,1359612;-0,4315455;2,431478;0,1401409;-0,4916807;2,393169;-0,1293338;-0,2922664;2,460556;-0,1600986;-0,6646671;2,379246;-0,124058;-0,9110831;2,362583;-0,1812399;-0,9664773;2,346253;0,02432172;-0,3011858;2,483628;0,04216905;-0,6581013;2,382858;0,005904476;-0,9121444;2,359766;0,004575146;-0,950619;2,272246; 
-0,03370211;0,348695;2,59847;-0,05378625;-0,2212598;2,488888;-0,05910478;-0,1687725;2,543923;-0,06272278;0,1564279;2,565595;-0,2348385;0,07654147;2,551732;-0,5098999;-0,03419275;2,52966;-0,7131853;-0,08288401;2,443329;-0,7732909;-0,05017985;2,423692;0,1058608;0,04404331;2,572805;0,1231052;-0,2268239;2,526289;0,1360081;-0,4321054;2,431087;0,1401741;-0,4920434;2,392904;-0,1282796;-0,2936918;2,459287;-0,160118;-0,6653838;2,37882;-0,1239696;-0,9119075;2,36262;-0,1869923;-0,9580718;2,340232;0,02428179;-0,3018579;2,482807;0,04217595;-0,6585861;2,382718;0,005114372;-0,9124174;2,360062;0,003847182;-0,9510652;2,272623; 
-0,03431244;0,3486323;2,597472;-0,05278971;-0,2248199;2,487519;-0,05845917;-0,1716966;2,542672;-0,06279047;0,155987;2,565088;-0,2333303;0,07293388;2,550027;-0,5063461;-0,05261106;2,526268;-0,7033652;-0,1157867;2,433;-0,7414679;-0,1096999;2,417058;0,1056905;0,0433848;2,572376;0,124628;-0,2290748;2,525565;0,1369016;-0,4348473;2,430371;0,1410456;-0,4944669;2,392391;-0,1265108;-0,2969261;2,458118;-0,1599523;-0,6688846;2,378051;-0,1239708;-0,9119083;2,362644;-0,1848535;-0,9618721;2,342588;0,02473328;-0,3037615;2,481935;0,04237;-0,6595487;2,382828;0,005210432;-0,9123264;2,360113;0,004063953;-0,9509878;2,272669; 
-0,03488766;0,3487904;2,597108;-0,0528467;-0,228376;2,485604;-0,0583329;-0,1745511;2,541016;-0,0626575;0,1558751;2,564569;-0,2315386;0,06929624;2,54897;-0,498254;-0,07021362;2,524255;-0,6935504;-0,1395509;2,430194;-0,7369855;-0,135777;2,413083;0,1047069;0,04286323;2,571141;0,1249567;-0,2291839;2,525619;0,1371852;-0,4353209;2,430322;0,1413077;-0,49463;2,39254;-0,1258463;-0,2991762;2,457001;-0,1596158;-0,6693388;2,377794;-0,1241254;-0,911489;2,362675;-0,1879753;-0,9568418;2,34094;0,02373973;-0,3061087;2,480049;0,04205735;-0,6610683;2,382482;0,00485683;-0,9136457;2,360146;0,03210184;-0,9896179;2,350551; 
-0,03603541;0,3492933;2,596892;-0,05298302;-0,230446;2,484538;-0,05871113;-0,1762275;2,540145;-0,0639025;0,1559908;2,56426;-0,2308683;0,06739029;2,548235;-0,4872239;-0,08932661;2,52304;-0,6870915;-0,1804806;2,418441;-0,7359605;-0,1853631;2,399554;0,1045138;0,04278759;2,571011;0,1259022;-0,2271114;2,526465;0,1374866;-0,4338182;2,431573;0,1415901;-0,4928539;2,393965;-0,1250457;-0,3012918;2,455278;-0,1594442;-0,6695514;2,377654;-0,1242998;-0,9121661;2,362095;-0,1889139;-0,9549875;2,337634;0,02337177;-0,3078312;2,479328;0,04204217;-0,6615598;2,382477;0,005005486;-0,9135539;2,360281;0,03189549;-0,9896295;2,350461; 
-0,03786019;0,3494848;2,594857;-0,05225879;-0,2325351;2,48389;-0,05858843;-0,1782001;2,539578;-0,0650551;0,1551672;2,56417;-0,228581;0,06121664;2,545465;-0,4491374;-0,1436009;2,515707;-0,6441212;-0,2771577;2,398811;-0,7130812;-0,3030017;2,363832;0,104237;0,0422092;2,571064;0,126063;-0,2258822;2,526952;0,1378767;-0,4322775;2,432145;0,1419703;-0,4911705;2,394627;-0,1235463;-0,3036363;2,454381;-0,1594161;-0,6694847;2,377313;-0,1244487;-0,9114953;2,361874;-0,188909;-0,952114;2,333535;0,02403656;-0,3088672;2,47886;0,04223214;-0,6621696;2,382402;0,005028896;-0,9140971;2,360438;0,02941917;-0,9910556;2,350919; 
-0,06211578;0,3427441;2,591874;-0,05675963;-0,2366402;2,482136;-0,06295577;-0,1825646;2,53793;-0,07174693;0,1516442;2,563351;-0,2363325;0,05129633;2,544758;-0,3026862;-0,2233634;2,52786;-0,3143785;-0,4287281;2,429949;-0,3157043;-0,5115572;2,384129;0,09765758;0,04068672;2,568941;0,1251512;-0,225245;2,526622;0,1379304;-0,4319875;2,432266;0,1420254;-0,4909003;2,394735;-0,1278833;-0,3084965;2,453518;-0,1585118;-0,6739912;2,376509;-0,12467;-0,914346;2,36203;-0,1882436;-0,9555253;2,332474;0,02010101;-0,3114254;2,476005;0,04172631;-0,6661553;2,382042;0,005326213;-0,9138659;2,360357;0,02772634;-0,9912152;2,349123; 
-0,06586535;0,343006;2,590647;-0,0592464;-0,2387257;2,481249;-0,06554309;-0,1845732;2,537009;-0,07535194;0,1503268;2,562124;-0,2384326;0,04839332;2,544379;-0,3026682;-0,2233512;2,52791;-0,3132533;-0,4289794;2,430038;-0,3150372;-0,5114092;2,383567;0,09585292;0,03951601;2,568644;0,1248323;-0,2252985;2,526731;0,1369556;-0,4320229;2,431763;0,1410495;-0,4909211;2,394243;-0,1302834;-0,3111238;2,453323;-0,1587237;-0,676674;2,375821;-0,1249639;-0,9157786;2,361971;-0,1899806;-0,9548031;2,332577;0,01778464;-0,3130045;2,474445;0,04181926;-0,6666526;2,382113;0,005100331;-0,9137455;2,360277;0,03396252;-0,9884528;2,34614; 
-0,06729369;0,3432417;2,589756;-0,06035454;-0,23982;2,48091;-0,06675074;-0,1856259;2,53668;-0,07658917;0,1497075;2,561785;-0,2390065;0,04686133;2,54382;-0,3027368;-0,2232883;2,528062;-0,3132874;-0,4290684;2,430129;-0,3148752;-0,5115278;2,383754;0,09476745;0,03928778;2,568973;0,1231417;-0,2263574;2,52564;0,1335473;-0,4383882;2,426984;0,1376403;-0,4972707;2,389473;-0,131235;-0,3122432;2,453041;-0,1583375;-0,6792958;2,375568;-0,125658;-0,914916;2,362273;-0,1893479;-0,9546715;2,330812;0,01668851;-0,3138342;2,474077;0,04165422;-0,6686966;2,381985;0,006051264;-0,9135623;2,359908;0,03274864;-0,9893174;2,346675; 
-0,0680504;0,3428332;2,58913;-0,06519203;-0,2412926;2,480005;-0,07106371;-0,1869631;2,535788;-0,07896962;0,1490168;2,560885;-0,2403633;0,04624299;2,543814;-0,3021699;-0,2230654;2,528119;-0,3112607;-0,4286532;2,429074;-0,3129424;-0,5121127;2,383807;0,09141923;0,0405343;2,569044;0,1292812;-0,229006;2,531298;0,1914582;-0,4552773;2,445061;0,2057396;-0,5349344;2,418385;-0,1366407;-0,3135445;2,453476;-0,1589311;-0,6787776;2,375138;-0,1287604;-0,9174297;2,361247;-0,1927994;-0,9548491;2,327415;0,01111858;-0,3150762;2,471826;0,03925162;-0,6717801;2,381378;0,005965295;-0,9137712;2,360217;0,03251383;-0,9897392;2,347186; 
-0,07742129;0,3448557;2,585953;-0,07116288;-0,2414683;2,480293;-0,07680231;-0,1869757;2,535933;-0,08200604;0,1493022;2,560419;-0,2440861;0,04556026;2,542778;-0,3014551;-0,2231312;2,527501;-0,3005898;-0,4414677;2,418709;-0,3005171;-0,52316;2,369852;0,0892252;0,04197392;2,571066;0,2269717;-0,2238818;2,574003;0,3418853;-0,4165362;2,491393;0,3830115;-0,4885402;2,47738;-0,1453389;-0,3147526;2,45592;-0,1590149;-0,6788837;2,375122;-0,1284907;-0,9181871;2,361151;-0,1587923;-0,9933403;2,351247;0,006041722;-0,3150466;2,470675;0,03933287;-0,6721966;2,381419;0,007074955;-0,9135644;2,360209;0,03053373;-0,9906065;2,34685; 
-0,0835762;0,3456976;2,583902;-0,07327186;-0,24121;2,480665;-0,07893988;-0,1865588;2,536206;-0,08324538;0,1500553;2,560106;-0,2466806;0,04465906;2,541947;-0,3014657;-0,2223596;2,526218;-0,2996538;-0,4429491;2,41793;-0,2975911;-0,5254527;2,370744;0,08548659;0,04496666;2,572484;0,2656844;-0,1959006;2,584604;0,4199144;-0,3576092;2,513182;0,4764242;-0,434224;2,504065;-0,1476142;-0,3147312;2,45686;-0,1589224;-0,6786715;2,374787;-0,1282609;-0,9195102;2,361574;-0,1706282;-0,9863719;2,341207;0,003891394;-0,3144182;2,470729;0,03866201;-0,6718321;2,381822;0,005887398;-0,9157794;2,361198;0,03370789;-0,9908576;2,344779; 
-0,08953914;0,3466746;2,58151;-0,07510833;-0,2399924;2,481909;-0,08165299;-0,1852452;2,537204;-0,08872947;0,1510469;2,559235;-0,2512627;0,04361182;2,539794;-0,3012997;-0,2220781;2,524875;-0,2987767;-0,4427756;2,417182;-0,294395;-0,5240101;2,369457;0,08305741;0,05077644;2,575663;0,3098371;-0,1358378;2,604737;0,507856;-0,2376524;2,56518;0,5893387;-0,2870046;2,557721;-0,1493034;-0,31429;2,458516;-0,1589144;-0,6782472;2,374661;-0,1281576;-0,9196517;2,361829;-0,1747176;-0,9824943;2,338074;0,003130317;-0,3134845;2,47156;0,03848159;-0,6714591;2,382281;0,005569397;-0,9169537;2,361894;0,006487215;-0,9569675;2,274456; 
-0,09680633;0,346109;2,578481;-0,07714793;-0,2370688;2,48393;-0,0845563;-0,182685;2,538712;-0,0939635;0,1515501;2,558534;-0,2549456;0,04317314;2,538135;-0,3012859;-0,2212376;2,522148;-0,2975632;-0,4430151;2,416111;-0,291408;-0,5245758;2,366767;0,07985028;0,06330062;2,580472;0,3374523;-0,0430255;2,633487;0,5577083;-0,08575321;2,613125;0,6502787;-0,1091908;2,615637;-0,1506251;-0,31286;2,460629;-0,1584342;-0,6760099;2,374766;-0,1275719;-0,9173206;2,362448;-0,1098121;-0,9578332;2,276979;0,002072466;-0,3104525;2,473519;0,03767835;-0,6692989;2,384294;0,006114444;-0,9160163;2,362185;0,008414368;-0,9555832;2,274488; 
-0,1061009;0,3430748;2,579603;-0,07981203;-0,2288702;2,490786;-0,08829385;-0,1758754;2,543785;-0,09938086;0,1522642;2,558104;-0,2602554;0,04097821;2,536712;-0,301724;-0,2215766;2,521581;-0,2987967;-0,4415076;2,417074;-0,2919983;-0,523159;2,368145;0,0783403;0,08232272;2,587086;0,3533221;0,08108045;2,648813;0,5772821;0,09886722;2,634429;0,6717579;0,1108041;2,640675;-0,1526146;-0,3093759;2,466657;-0,1573929;-0,6670552;2,378031;-0,1271242;-0,9166836;2,363056;-0,1092299;-0,9562342;2,277182;0,001892351;-0,300941;2,482297;0,03734352;-0,6646613;2,38876;0,005708838;-0,9169567;2,362755;0,009265633;-0,9553843;2,274609; 
-0,1076959;0,3426925;2,580169;-0,08057345;-0,2272214;2,492126;-0,08939018;-0,1742908;2,544951;-0,1016045;0,1519586;2,557538;-0,26234;0,04049111;2,536054;-0,3019779;-0,2214756;2,521293;-0,3001792;-0,4402111;2,417627;-0,2927752;-0,5216904;2,368672;0,07772991;0,0841198;2,587456;0,3533082;0,08104356;2,648805;0,5769281;0,1038345;2,630988;0,6713626;0,1119613;2,641303;-0,1533392;-0,3084211;2,46821;-0,157135;-0,665457;2,378767;-0,1276656;-0,9179822;2,364089;-0,185878;-0,9749303;2,356575;0,001564668;-0,2990634;2,484087;0,03559073;-0,66125;2,391337;0,003370582;-0,916907;2,364718;0,02717347;-0,9935322;2,348899; 
-0,1091719;0,3420506;2,580152;-0,08187097;-0,2258937;2,493264;-0,09091112;-0,1730309;2,545957;-0,1042149;0,1512713;2,556939;-0,2639931;0,04029999;2,535886;-0,3025928;-0,2211183;2,520567;-0,3011138;-0,4430708;2,416742;-0,2930904;-0,524693;2,367527;0,07730108;0,08498832;2,587629;0,3530237;0,08058829;2,648869;0,5768431;0,1032965;2,63264;0,6714215;0,1088405;2,64579;-0,154762;-0,3074203;2,46973;-0,1572556;-0,6644016;2,379247;-0,1273656;-0,9181494;2,364931;-0,1901004;-0,9678545;2,34815;0,0007293194;-0,2979296;2,485335;0,03508421;-0,6600036;2,391874;0,003753172;-0,916419;2,364765;0,02858968;-0,9925597;2,348224; 
-0,1109782;0,3420015;2,57998;-0,08248564;-0,2250171;2,493889;-0,09175331;-0,172151;2,546543;-0,1056886;0,1512219;2,556714;-0,2651062;0,03984872;2,535585;-0,303624;-0,2213314;2,520277;-0,3029636;-0,4461768;2,417052;-0,2972038;-0,5295805;2,370485;0,07684299;0,08572047;2,587954;0,3522392;0,07916898;2,649359;0,5759553;0,1045671;2,63647;0,6330516;0,1040519;2,648057;-0,1552067;-0,3068881;2,470319;-0,157276;-0,6632036;2,379732;-0,1274049;-0,9189397;2,365515;-0,1906731;-0,9692816;2,352878;0,0002325594;-0,296968;2,486247;0,03385758;-0,6588933;2,392972;0,00327877;-0,915373;2,364629;0,02871487;-0,9915298;2,348818; 
-0,1119062;0,3417563;2,5808;-0,08275148;-0,2246673;2,494158;-0,0921313;-0,1717502;2,546836;-0,1058611;0,1513214;2,556748;-0,2653297;0,03971273;2,535309;-0,3047955;-0,2214359;2,519878;-0,3037187;-0,44713;2,417251;-0,2974983;-0,5304705;2,370565;0,07673092;0,08671438;2,588435;0,3521423;0,07787834;2,649405;0,5758891;0,1043169;2,636511;0,6330639;0,1051652;2,647844;-0,1555868;-0,3065896;2,470705;-0,1574162;-0,6624618;2,379892;-0,1277608;-0,919696;2,36578;-0,1922916;-0,968191;2,35203;7,8046E-06;-0,2966016;2,486531;0,03301388;-0,6584693;2,393479;0,003376926;-0,9142872;2,364633;0,02851024;-0,9910293;2,351067; 
-0,1129425;0,3415261;2,580399;-0,08297875;-0,2245045;2,494395;-0,09240973;-0,1715291;2,547096;-0,1060452;0,1514176;2,55679;-0,2657216;0,03972531;2,535098;-0,3058335;-0,221321;2,519676;-0,3055002;-0,4417874;2,420913;-0,2991745;-0,5251089;2,374099;0,07637226;0,0869797;2,588375;0,3520523;0,07666448;2,649733;0,5758545;0,1038649;2,637122;0,6335303;0,1060422;2,648079;-0,1559182;-0,3064126;2,471155;-0,1574303;-0,6621188;2,380113;-0,1276388;-0,9199855;2,365808;-0,109705;-0,9598178;2,279881;-0,0002318;-0,2963674;2,486772;0,03264346;-0,6591034;2,393734;0,003204968;-0,9141653;2,364653;0,03251244;-0,9899393;2,354044