;-0,1397309;0,2346985;3,1357;-0,07586142;-0,3323119;3,009981;-0,08241377;-0,282398;3,067637;-0,1095379;0,04237237;3,100268;-0,2721558;-0,08422413;3,082246;-0,2689475;-0,3301626;3,050904;-0,2778313;-0,5438908;3,021744;-0,2648962;-0,604955;2,984879;0,06912262;-0,02418997;3,111249;0,3389632;-0,03494658;3,158362;0,5527597;-0,03426189;3,127769;0,621354;-0,0138663;3,116195;-0,1478207;-0,413747;2,986395;-0,1493987;-0,7716219;2,917667;-0,1351369;-1,105897;2,896693;-0,1291316;-1,145489;2,80741;0,007586147;-0,4010628;2,992006;0,04686268;-0,7641407;2,893602;0,04988383;-1,09664;2,876376;0,008058392;-1,168502;2,874265; 
-0,1386852;0,2347911;3,136523;-0,07672223;-0,3312686;3,010655;-0,08265902;-0,2816312;3,068217;-0,1085111;0,04248654;3,100832;-0,2726635;-0,08438021;3,08352;-0,2686968;-0,3307254;3,052727;-0,2777609;-0,5444438;3,02117;-0,2648792;-0,6052561;2,984458;0,06939183;-0,02411504;3,110296;0,3391894;-0,03604795;3,156083;0,553341;-0,03728056;3,127537;0,6216523;-0,01696914;3,116011;-0,1493255;-0,4130501;2,988286;-0,149607;-0,7716581;2,917836;-0,1343859;-1,106827;2,897477;-0,1287999;-1,146586;2,808267;0,006593982;-0,3998457;2,991754;0,0465806;-0,7639267;2,89373;0,04926221;-1,097472;2,876569;0,007015072;-1,169091;2,875896; 
-0,1383349;0,2352816;3,13714;-0,07770452;-0,330735;3,011029;-0,08335898;-0,280964;3,068763;-0,1085208;0,04472499;3,102672;-0,2726471;-0,08406767;3,084394;-0,2708495;-0,3298329;3,055613;-0,2749104;-0,5356007;2,981061;-0,262082;-0,5961612;2,944501;0,06954337;-0,02448482;3,108846;0,3373928;-0,03677946;3,153224;0,5516968;-0,0394189;3,124646;0,6197254;-0,01919156;3,113167;-0,1504144;-0,4125001;2,989258;-0,1506771;-0,7723277;2,918407;-0,1349836;-1,106932;2,897066;-0,1299018;-1,146432;2,807741;0,005339648;-0,3991275;2,991405;0,04642364;-0,7637817;2,894097;0,04935852;-1,096622;2,875669;0,00887116;-1,169199;2,873619; 
-0,1379717;0,2355424;3,1375;-0,07838214;-0,3293694;3,011635;-0,08379048;-0,2797716;3,06949;-0,1078286;0,04567089;3,104192;-0,2726586;-0,08411881;3,085148;-0,2712288;-0,3309115;3,056228;-0,2755572;-0,5406415;2,996102;-0,2627784;-0,6009681;2,959683;0,06997639;-0,02461379;3,108894;0,3380687;-0,03770041;3,151675;0,5526506;-0,03981717;3,124592;0,6204162;-0,01966798;3,113157;-0,1509434;-0,4120105;2,98981;-0,1514978;-0,7709596;2,918687;-0,1350768;-1,106981;2,89755;-0,1300754;-1,146539;2,808268;0,004406894;-0,3969808;2,991351;0,04646982;-0,7636305;2,89425;0,04887797;-1,096574;2,875368;0,008387171;-1,169126;2,873209; 
-0,1374495;0,235467;3,137777;-0,07889204;-0,3292481;3,011909;-0,08413011;-0,2796143;3,069831;-0,1078884;0,04595287;3,104728;-0,2727357;-0,08412486;3,08536;-0,2731898;-0,3290273;3,060982;-0,2767869;-0,5384998;2,99906;-0,2640554;-0,5986031;2,962776;0,07027777;-0,02488936;3,107892;0,3380605;-0,03814177;3,150475;0,5528998;-0,04204594;3,125707;0,6204147;-0,0219713;3,114315;-0,1515819;-0,4118665;2,990231;-0,1519686;-0,7708135;2,91892;-0,1352004;-1,10831;2,897392;-0,1304563;-1,14776;2,808063;0,004032776;-0,3969874;2,991397;0,04596359;-0,7630056;2,894048;0,04896615;-1,096459;2,874927;0,01085712;-1,170246;2,87189; 
-0,07710142;0,2337973;3,13528;-0,07070069;-0,3405357;3,009514;-0,07367721;-0,2906765;3,068689;-0,07052571;0,04172239;3,116282;-0,2500246;-0,08171981;3,087981;-0,2618084;-0,3305669;3,054742;-0,2697859;-0,5396008;2,99129;-0,2570957;-0,5995086;2,955124;0,09448118;-0,07277666;3,096589;0,1391024;-0,3297406;3,047571;0,1639884;-0,5327553;2,967792;0,1722838;-0,6004269;2,945426;-0,146422;-0,4162124;2,989144;-0,1534576;-0,7724564;2,919538;-0,1354268;-1,108045;2,897988;-0,1302695;-1,147737;2,808812;0,00795466;-0,4094968;2,986714;0,04653034;-0,7635182;2,894033;0,04921601;-1,096103;2,874969;0,01066596;-1,169654;2,872282; 
-0,07640151;0,2349978;3,136464;-0,06785342;-0,3456464;3,00842;-0,07055748;-0,2945457;3,068309;-0,06988299;0,04191471;3,116752;-0,2466745;-0,08174214;3,087754;-0,2586169;-0,330748;3,053021;-0,2687756;-0,539795;2,989824;-0,2561252;-0,599515;2,953771;0,09439902;-0,07291844;3,09657;0,1392001;-0,3297107;3,047865;0,1646163;-0,5330733;2,9692;0,1730884;-0,6008608;2,94721;-0,1431936;-0,4195789;2,986469;-0,1545267;-0,7770353;2,920672;-0,1355559;-1,109083;2,897699;-0,1301195;-1,148312;2,808374;0,009605048;-0,4152089;2,98675;0,04641342;-0,7647177;2,894447;0,04904304;-1,095997;2,87485;0,009641435;-1,169023;2,871274; 
-0,07454237;0,2352088;3,139935;-0,06708056;-0,3466948;3,007748;-0,06964055;-0,2957038;3,067713;-0,06975602;0,04151573;3,116525;-0,2450248;-0,08162939;3,087554;-0,257499;-0,3302612;3,05143;-0,2640806;-0,5371063;2,974102;-0,2514772;-0,5966048;2,938184;0,09481179;-0,07355765;3,09673;0,1397179;-0,3297369;3,048204;0,1632408;-0,5322881;2,966306;0,1710818;-0,5998052;2,943242;-0,1422393;-0,4203066;2,984928;-0,1549042;-0,7771353;2,920824;-0,1359956;-1,108835;2,898133;-0,1303995;-1,148137;2,808896;0,01041696;-0,4170621;2,986374;0,04672196;-0,7675704;2,894645;0,04888877;-1,096383;2,874481;0,009321515;-1,169314;2,871707; 
-0,07540856;0,2369819;3,137484;-0,05730585;-0,308988;3,01667;-0,06560504;-0,2672462;3,072576;-0,0700752;0,04510202;3,112115;-0,2539739;-0,02854453;3,092434;-0,2391186;-0,2540617;3,015198;-0,1966756;-0,5334377;2,931902;-0,1840715;-0,5929396;2,895981;0,1024465;-0,02193354;3,132003;0,3464456;-0,01850803;3,219395;0,5552613;-0,01154065;3,25862;0,6483806;-0,0216778;3,239663;-0,1348986;-0,3895313;2,987977;-0,1510723;-0,7706451;2,919196;-0,1365516;-1,107906;2,898324;-0,1242603;-1,147398;2,809824;0,02443626;-0,3880649;3,001058;0,04701547;-0,7646387;2,895777;0,04765852;-1,096322;2,875607;0,007468022;-1,168945;2,873298; 
-0,07559681;0,2374957;3,137862;-0,0570919;-0,3077947;3,017002;-0,06509437;-0,2645901;3,073249;-0,07059709;0,04638891;3,110583;-0,2539566;-0,02851803;3,092362;-0,2371772;-0,2547476;3,010566;-0,1947333;-0,5341296;2,927284;-0,1821236;-0,5936574;2,891347;0,1022289;-0,02053192;3,132064;0,3493757;-0,01574357;3,223681;0,5585228;-0,005116732;3,260949;0,6538566;-0,003873523;3,268105;-0,134478;-0,3883887;2,988007;-0,149986;-0,7696823;2,918982;-0,136582;-1,107957;2,898358;-0,1245884;-1,147508;2,809848;0,02533194;-0,3844761;3,002614;0,0471271;-0,7638888;2,896033;0,04773538;-1,096404;2,875577;0,007659968;-1,169087;2,873251; 
-0,0762284;0,2380335;3,137634;-0,05745184;-0,3068257;3,01735;-0,06541093;-0,2630626;3,073692;-0,07125453;0,04675135;3,109523;-0,2540154;-0,02838678;3,092495;-0,2369885;-0,2538825;3,011048;-0,1962789;-0,5339515;2,929576;-0,1836704;-0,5934737;2,893643;0,102274;-0,0197545;3,132628;0,3481922;-0,0130669;3,223049;0,557404;-0,0009579314;3,259658;0,6525468;-0,0003346278;3,268988;-0,1346949;-0,3875577;2,98828;-0,1478269;-0,7680043;2,920264;-0,1366126;-1,107748;2,899103;-0,1250108;-1,147193;2,810481;0,02505652;-0,3828871;3,003155;0,04707829;-0,7631125;2,896662;0,04432763;-1,097831;2,877536;0,007196791;-1,171944;2,872597