;0,3672163;0,5714946;2,591736;0,3485992;0,05162578;2,592747;0,3702271;0,09902854;2,646375;0,4080568;0,40984;2,665873;0,2216261;0,3304396;2,68373;0,1451074;0,07528679;2,681909;0,09695606;-0,141906;2,570522;0,08559281;-0,2077809;2,54651;0,552646;0,3731922;2,608225;0,6393438;0,5907897;2,482581;0,5659853;0,7830026;2,395621;0,5361837;0,8456997;2,410368;0,2603962;-0,01209515;2,60094;0,170762;-0,3323852;2,351912;0,1457642;-0,6613587;2,423759;0,1053197;-0,7335486;2,387113;0,4121365;-0,03292772;2,549344;0,3713952;-0,4971975;2,55106;0,3311493;-0,8332382;2,564142;0,3611104;-0,8955959;2,493961; 
0,3772272;0,599207;2,600504;0,3494036;0,05325245;2,580305;0,3693383;0,1025053;2,633658;0,4071936;0,4181102;2,648303;0,2228728;0,3337573;2,659119;0,1412998;0,07738379;2,670576;0,08117284;-0,1119096;2,565984;0,06934161;-0,2010166;2,538358;0,5514634;0,3734812;2,592692;0,6502664;0,5789249;2,481143;0,5878537;0,7750851;2,394157;0,5531107;0,8551769;2,403444;0,262742;-0,01065154;2,586875;0,1661597;-0,3389871;2,350947;0,1408928;-0,6621251;2,436066;0,1091818;-0,7358187;2,397484;0,412673;-0,03045077;2,540127;0,374122;-0,487733;2,547536;0,3304687;-0,8324231;2,561411;0,3559837;-0,8941593;2,499573; 
0,3771562;0,5993984;2,600823;0,3490997;0,05306627;2,580211;0,3690549;0,1023998;2,633528;0,4070788;0,4181262;2,648045;0,2229749;0,3338553;2,659026;0,1408165;0,07858096;2,670202;0,07945727;-0,1374456;2,545533;0,07101042;-0,2111429;2,53571;0,5516841;0,3733938;2,592772;0,6511165;0,5811788;2,479674;0,5872373;0,7771028;2,393306;0,5534952;0,8556066;2,402548;0,2625073;-0,0107942;2,586893;0,1667277;-0,339503;2,35112;0,14102;-0,6630286;2,436059;0,1104383;-0,7368764;2,397023;0,4121673;-0,03075711;2,540088;0,3743946;-0,4867274;2,547523;0,3305862;-0,8329877;2,561522;0,355803;-0,8941988;2,500496; 
0,3773848;0,5987357;2,600462;0,3494673;0,05320318;2,579884;0,3694094;0,102536;2,63324;0,4077009;0,4185523;2,648179;0,2231816;0,3341101;2,658921;0,140229;0,08041479;2,669569;0,07919444;-0,1389049;2,545226;0,07200217;-0,2099889;2,530353;0,5523002;0,3733391;2,592821;0,6521597;0,578571;2,481369;0,5897537;0,7744905;2,393746;0,5542978;0,8559906;2,402231;0,2630128;-0,01061333;2,586281;0,1671674;-0,33975;2,35091;0,1408999;-0,6638625;2,435484;0,1133379;-0,7381419;2,395196;0,4124037;-0,03065662;2,539898;0,3747543;-0,4858658;2,547834;0,3319016;-0,8300287;2,562412;0,3571263;-0,8941894;2,499419; 
0,3778322;0,5987303;2,600116;0,3495546;0,05282177;2,579601;0,3694629;0,1022682;2,633077;0,4078972;0,4186738;2,648491;0,2235258;0,3341423;2,658773;0,1398265;0,08045934;2,669378;0,0791074;-0,1389131;2,545038;0,07270366;-0,2087237;2,5272;0,5527987;0,3735718;2,59295;0,652552;0,5800866;2,480997;0,5902591;0,7759314;2,393086;0,5558999;0,8548914;2,401359;0,2635951;-0,01129713;2,585607;0,1680306;-0,3401193;2,350671;0,1403501;-0,6654862;2,434277;0,1161364;-0,740364;2,393115;0,4122264;-0,03085703;2,539713;0,3763891;-0,4778318;2,546917;0,331245;-0,8294879;2,562687;0,3557741;-0,8931816;2,503028; 
0,3781816;0,5991232;2,599433;0,3498903;0,05290201;2,579358;0,3697518;0,1023225;2,632866;0,4082685;0,4187627;2,648553;0,224376;0,3344301;2,658266;0,1391304;0,08100358;2,669044;0,07873435;-0,1400194;2,544567;0,07276948;-0,2087662;2,527084;0,5535169;0,3734999;2,592823;0,6534455;0,5818645;2,48033;0,5902362;0,7774399;2,392478;0,5560088;0,8549913;2,40128;0,2639673;-0,01102958;2,585067;0,169157;-0,3411089;2,350581;0,140899;-0,6650271;2,433837;0,1170265;-0,7402206;2,393205;0,4125557;-0,0307768;2,539646;0,372396;-0,5132307;2,55615;0,33189;-0,8297248;2,56278;0,3589574;-0,894302;2,50005; 
0,3818066;0,5987293;2,596189;0,3514249;0,05256005;2,57876;0,3710986;0,1019279;2,632298;0,4089975;0,418276;2,6483;0,2245684;0,3345456;2,658259;0,1388872;0,08145228;2,668952;0,07889469;-0,1421636;2,544048;0,0736488;-0,2091146;2,525973;0,5539858;0,3734371;2,593112;0,653824;0,5823911;2,480415;0,5908129;0,7779627;2,39238;0,5570395;0,8551278;2,401634;0,2661772;-0,01134565;2,583938;0,1695611;-0,3409697;2,349916;0,1412283;-0,6644061;2,432938;0,1183895;-0,7393434;2,391403;0,4137968;-0,03104149;2,539476;0,3745831;-0,4965099;2,552266;0,3324643;-0,8306131;2,562492;0,3581324;-0,8943803;2,50173; 
0,3831515;0,5970303;2,596166;0,3509752;0,05192383;2,578775;0,3707634;0,1012808;2,632303;0,4099029;0,4171923;2,648388;0,2249825;0,334667;2,658147;0,1381744;0,08260833;2,669015;0,07856677;-0,1435285;2,544203;0,07389014;-0,2103702;2,525739;0,5546899;0,3727128;2,593522;0,6558601;0,5764248;2,484377;0,5941563;0,771966;2,395204;0,5588446;0,8545901;2,401891;0,2655772;-0,0116271;2,583768;0,1703292;-0,3407238;2,349555;0,1418853;-0,6634762;2,431494;0,1210285;-0,7382907;2,388854;0,4127927;-0,03205328;2,539965;0,374399;-0,4948415;2,551699;0,3327273;-0,8303464;2,562741;0,3586372;-0,8946983;2,498727; 
0,385085;0,5956092;2,596263;0,3509306;0,051445;2,578666;0,3707375;0,1007813;2,632175;0,4112962;0,4163535;2,647963;0,2259206;0,3348942;2,657923;0,1373539;0,08356053;2,669162;0,0783307;-0,1425681;2,54668;0,07354383;-0,2096053;2,526744;0,5554588;0,3723438;2,594137;0,6562361;0,575712;2,48489;0,5957491;0,7717917;2,39614;0,5599499;0,8539453;2,402253;0,2654467;-0,01181348;2,583662;0,1720304;-0,3409027;2,34852;0,1438179;-0,6678292;2,426718;0,1201819;-0,7422527;2,385005;0,4125711;-0,03255988;2,540062;0,3745888;-0,4929947;2,550896;0,3325921;-0,8307475;2,562917;0,3582385;-0,8948107;2,499156; 
0,3857825;0,5950253;2,595355;0,3511058;0,05140152;2,57863;0,3708456;0,1007416;2,632111;0,4118145;0,4158423;2,647352;0,2274747;0,3350915;2,657491;0,1372463;0,0835304;2,669089;0,07840459;-0,1441076;2,547447;0,07324264;-0,2105478;2,527714;0,5564329;0,3720917;2,594669;0,658201;0,5800734;2,483714;0,5956722;0,7756971;2,395438;0,5605348;0,8537596;2,402386;0,2654635;-0,01181225;2,58364;0,1726343;-0,3411694;2,347912;0,1463275;-0,6694099;2,423039;0,1218431;-0,7425161;2,379673;0,4129462;-0,03255006;2,540219;0,374593;-0,4916382;2,55056;0,3327893;-0,831319;2,562608;0,3595074;-0,8946921;2,49722; 
0,3894128;0,5917854;2,596098;0,3515973;0,05122846;2,578684;0,3711093;0,1004959;2,632212;0,4121173;0,4152995;2,647598;0,2283294;0,3349974;2,657153;0,1370611;0,08362734;2,669334;0,07854694;-0,1460664;2,54858;0,07296143;-0,2127095;2,529674;0,5584722;0,3712893;2,595531;0,6594682;0,5823684;2,483622;0,5954186;0,7772887;2,394788;0,5615586;0,8526911;2,402915;0,2657344;-0,01184152;2,583578;0,1735459;-0,3413503;2,347111;0,1487891;-0,6738645;2,419752;0,122642;-0,7457601;2,375494;0,4137541;-0,03293244;2,540427;0,3746217;-0,4896514;2,550226;0,3324957;-0,8320907;2,563155;0,3590712;-0,8944634;2,497974; 
0,3898706;0,5917626;2,596043;0,3522055;0,05125875;2,578838;0,3716128;0,1004344;2,632383;0,4129475;0,4148583;2,647836;0,229914;0,3348817;2,656305;0,136989;0,08370118;2,669376;0,0787233;-0,1473594;2,551168;0,07235383;-0,2148229;2,535761;0,5601736;0,3716941;2,595977;0,6617451;0,5772167;2,486909;0,597815;0,7718068;2,39714;0,5626305;0,8519254;2,403009;0,2663064;-0,01157363;2,583598;0,1744798;-0,3416201;2,346586;0,1506173;-0,6763671;2,417406;0,1207063;-0,7475738;2,374597;0,4142726;-0,03303161;2,54073;0,3745773;-0,489102;2,55003;0,3323655;-0,8333586;2,56272;0,3589544;-0,8942927;2,498165; 
0,3946468;0,5922883;2,593908;0,3525852;0,05120827;2,578876;0,3718861;0,1002921;2,63243;0,4138048;0,4140831;2,647774;0,2308516;0,3344547;2,656225;0,1370584;0,08380562;2,66943;0,07820629;-0,1484467;2,553037;0,0713344;-0,2160296;2,538406;0,562407;0,3719379;2,597212;0,6636673;0,5743727;2,48876;0,5997115;0,7686855;2,39833;0,563489;0,850936;2,402758;0,266502;-0,01147872;2,583438;0,1754186;-0,3417711;2,346265;0,1507809;-0,6760654;2,415602;0,1215196;-0,748042;2,373803;0,4148009;-0,03334097;2,541137;0,3746064;-0,488923;2,549975;0,3327363;-0,8342808;2,562645;0,3574679;-0,8952883;2,501605; 
0,3948711;0,5922241;2,593924;0,3535625;0,05123067;2,578968;0,3724727;0,100358;2,632514;0,4138032;0,4141056;2,647774;0,2313213;0,3344473;2,656257;0,136952;0,08405321;2,669784;0,07714359;-0,1487181;2,555671;0,07087711;-0,2161745;2,540245;0,5633692;0,3719205;2,598027;0,6652629;0,5813406;2,48534;0,5986831;0,7747596;2,394871;0,5659807;0,8476607;2,400571;0,2677157;-0,01127794;2,583289;0,1760716;-0,3421252;2,345732;0,1514936;-0,6791724;2,413912;0,1198532;-0,7497658;2,371667;0,4162067;-0,03351717;2,541575;0,3743206;-0,4890276;2,54998;0,3321123;-0,8346363;2,562627;0,3570166;-0,8947576;2,50189; 
0,3955117;0,5921788;2,59414;0,3543416;0,05128577;2,579102;0,3731007;0,1003492;2,632731;0,4148166;0,4140528;2,648329;0,2321237;0,3346941;2,655813;0,1372742;0,0853815;2,670297;0,07703479;-0,1495864;2,557679;0,07076968;-0,2168681;2,541559;0,5649999;0,3715856;2,599108;0,665706;0,5817508;2,485095;0,6009058;0,7751481;2,393072;0,5698431;0,8467437;2,398409;0,2683149;-0,01121322;2,583103;0,1770363;-0,3426276;2,345379;0,1528953;-0,6802216;2,4124;0,1191144;-0,7503498;2,371229;0,4168897;-0,03348283;2,541905;0,3716182;-0,5166459;2,557071;0,3320734;-0,8349825;2,562254;0,3570613;-0,8947911;2,501697; 
0,4011247;0,5892274;2,594419;0,3549402;0,05083029;2,57937;0,3737627;0,09989829;2,633035;0,4165358;0,4141468;2,648943;0,2341527;0,3343954;2,655286;0,1369574;0,08652183;2,670473;0,0802403;-0,1210584;2,577893;0,07070329;-0,2091581;2,546455;0,5655379;0,3707293;2,599534;0,6691433;0,5753946;2,488616;0,6048363;0,7678735;2,394006;0,5713238;0,8453103;2,394504;0,268967;-0,01127568;2,583348;0,1775281;-0,3431523;2,345392;0,1551158;-0,6766739;2,412372;0,1202855;-0,7477366;2,373939;0,4170878;-0,03381069;2,542177;0,3754922;-0,4900904;2,550642;0,3323557;-0,8330482;2,563007;0,3568098;-0,8942308;2,501861; 
0,4012862;0,5891089;2,594523;0,355495;0,05034693;2,579396;0,3743506;0,0995061;2,633115;0,4184517;0,4149794;2,649602;0,2353814;0,3346988;2,655065;0,1369464;0,08685836;2,67073;0,07929329;-0,1229545;2,577664;0,0699852;-0,2116967;2,547916;0,5662046;0,3694056;2,599801;0,6705566;0,5719892;2,490157;0,6061578;0,767132;2,39217;0,5731518;0,8435143;2,391536;0,2696863;-0,01126878;2,583169;0,177883;-0,3433002;2,34514;0,1535373;-0,6797748;2,412256;0,1195253;-0,7502491;2,372215;0,4172501;-0,03434623;2,542421;0,3742471;-0,5017186;2,553967;0,3327486;-0,8328812;2,563069;0,3615179;-0,8968561;2,493578; 
0,4016715;0,589688;2,595209;0,3555514;0,05048701;2,579521;0,3741416;0,09964267;2,633237;0,4184128;0,4149639;2,649556;0,2358132;0,3349433;2,654845;0,1369424;0,08722017;2,671119;0,07926957;-0,1227812;2,577707;0,06967609;-0,2120667;2,549622;0,5679508;0,3698433;2,601275;0,673196;0,577312;2,486709;0,6076032;0,7682868;2,389633;0,5745336;0,8432381;2,38941;0,2698072;-0,01097602;2,583313;0,1781653;-0,3431963;2,34481;0,1530287;-0,6837036;2,412067;0,1199253;-0,7539312;2,371015;0,4172208;-0,03437213;2,542613;0,3744949;-0,4987605;2,552933;0,3331483;-0,8326131;2,563252;0,3625408;-0,8970559;2,49276; 
0,4032985;0,588819;2,594508;0,3565179;0,04986733;2,579415;0,3749317;0,09924238;2,633142;0,4186278;0,4150395;2,649455;0,236812;0,3350151;2,65458;0,137303;0,0880456;2,671566;0,07959017;-0,1219174;2,578108;0,06994975;-0,2112266;2,550006;0,5687432;0,3692771;2,601312;0,6736478;0,573681;2,487483;0,6094978;0,7664486;2,388944;0,5764288;0,8443304;2,389845;0,2715967;-0,01160629;2,583065;0,178461;-0,3434424;2,344643;0,153076;-0,6842079;2,411998;0,1205594;-0,7545482;2,370826;0,417735;-0,03493955;2,542691;0,3749306;-0,4926164;2,55182;0,3331383;-0,8326586;2,563382;0,3626282;-0,8966075;2,492905; 
0,4040639;0,5906411;2,596446;0,3564249;0,04982094;2,579485;0,3748321;0,09921692;2,633202;0,4186626;0,4150213;2,649488;0,2372133;0,3350851;2,654458;0,1371072;0,08840342;2,671721;0,0815464;-0,1083455;2,580946;0,07031181;-0,1975024;2,552975;0,5693492;0,3682967;2,601303;0,6744235;0,5689456;2,487889;0,6203527;0,7610841;2,385463;0,5816274;0,8467968;2,382113;0,2712616;-0,01143123;2,583111;0,178684;-0,3436184;2,344469;0,1527291;-0,6843382;2,412416;0,1211532;-0,7549301;2,371092;0,4175583;-0,03520898;2,542933;0,3733744;-0,5039254;2,554866;0,3340456;-0,8327339;2,563087;0,3643703;-0,8964611;2,491095; 
0,4045581;0,591502;2,596789;0,3563323;0,04972823;2,579605;0,3747731;0,09913118;2,633281;0,4196318;0,4144779;2,649286;0,2378808;0,33532;2,654377;0,136725;0,08903906;2,671481;0,08249389;-0,1083894;2,58152;0,0708418;-0,1970227;2,552116;0,5706197;0,3676905;2,601357;0,6767892;0,5606043;2,48946;0,6248837;0,7537174;2,387879;0,5864791;0,839578;2,384827;0,2710451;-0,01130198;2,583252;0,1787813;-0,343709;2,344471;0,1529604;-0,6831735;2,413386;0,1251473;-0,7552515;2,372081;0,4168857;-0,03594067;2,543405;0,3735994;-0,5113032;2,556435;0,3352448;-0,8348191;2,563163;0,3659395;-0,8975914;2,488966; 
0,4057466;0,5914919;2,59762;0,3558021;0,04934658;2,57996;0,3743385;0,09886062;2,633596;0,4206499;0,414431;2,649816;0,2387247;0,3356139;2,653994;0,1364589;0,09059391;2,671607;0,08332029;-0,1071418;2,581711;0,07037958;-0,1948837;2,550055;0,5722277;0,3654012;2,601959;0,6793073;0,5548322;2,48813;0,6314895;0,7515351;2,384052;0,5955469;0,831539;2,382178;0,2701937;-0,01125491;2,583312;0,1788534;-0,3437279;2,344545;0,1566519;-0,6686547;2,427602;0,1339771;-0,7410525;2,383923;0,4155143;-0,03698802;2,544442;0,3742258;-0,5022514;2,556083;0,3359566;-0,8352695;2,563676;0,3646805;-0,8938183;2,494878; 
0,405983;0,5914448;2,597703;0,3562306;0,04879538;2,579773;0,374434;0,09847336;2,633591;0,4206975;0,4146258;2,650324;0,2391701;0,335616;2,65368;0,1360054;0,09098674;2,671107;0,08368387;-0,1068167;2,580883;0,07072426;-0,1946423;2,54939;0,5742049;0,3645843;2,602972;0,6882983;0,5420609;2,485569;0,6420049;0,7477554;2,363538;0,6219757;0,8075779;2,347538;0,2709523;-0,01216683;2,582088;0,1788806;-0,3439372;2,344736;0,1543985;-0,66738;2,432519;0,1363077;-0,7411127;2,389063;0,4160963;-0,03765418;2,544489;0,3713326;-0,5141786;2,559504;0,3367153;-0,835349;2,563909;0,3647069;-0,8927967;2,495515; 
0,4063317;0,5918095;2,597924;0,3559256;0,04894609;2,580241;0,3737991;0,09857322;2,634166;0,4209762;0,4147076;2,651261;0,2386609;0,3350661;2,653184;0,1347245;0,09134543;2,669783;0,08367787;-0,1069745;2,580134;0,07085526;-0,1947465;2,548308;0,5785472;0,3612069;2,604438;0,7055248;0,5109259;2,483054;0,6713122;0,6903304;2,342376;0,6484874;0,7580346;2,319234;0,2699161;-0,01193715;2,582105;0,1780129;-0,3436736;2,345339;0,1545267;-0,6697236;2,438311;0,1357695;-0,7449213;2,397892;0,4157799;-0,03827232;2,545344;0,3726843;-0,5016136;2,557052;0,3376585;-0,8341262;2,564317;0,3651011;-0,8938815;2,49272