;0,4457108;0,7392362;2,697351;0,3884353;0,1312053;2,717091;0,4083629;0,1947462;2,765798;0,4473502;0,5519215;2,749852;0,2736188;0,4381639;2,785081;0,1866869;0,1787241;2,842087;0,1545319;0,4013517;2,775756;0,1599591;0,485585;2,756111;0,6226983;0,4211982;2,707736;0,8332366;0,4218341;2,649777;0,8234639;0,6683993;2,616175;0,7997832;0,7690597;2,605729;0,2944992;0,06645179;2,726393;-0,05455592;-0,1725468;2,623116;-0,09632985;-0,5746458;2,609707;-0,1652592;-0,6176313;2,599372;0,4598424;0,03801172;2,69083;0,3913786;-0,46094;2,665022;0,3678745;-0,8398902;2,682695;0,3552129;-0,9060908;2,614825; 
0,446142;0,7408735;2,697543;0,3884594;0,1311716;2,717164;0,4083974;0,1946783;2,765888;0,4475064;0,5520862;2,750413;0,2737235;0,4381952;2,785204;0,186672;0,1787253;2,84217;0,1545169;0,4013529;2,775843;0,1599425;0,4855614;2,756204;0,6227183;0,4211882;2,707729;0,8332285;0,4219004;2,649786;0,8233455;0,6685372;2,616477;0,7997782;0,7695529;2,606503;0,294566;0,06648551;2,726479;-0,0544233;-0,172462;2,623174;-0,09635544;-0,5745468;2,609609;-0,1645854;-0,618582;2,599271;0,459842;0,03794635;2,690817;0,3909368;-0,463005;2,665797;0,3679474;-0,840222;2,6826;0,3552226;-0,90641;2,614562; 
0,4465081;0,7378716;2,699677;0,3884956;0,1310906;2,717208;0,4084472;0,1945746;2,765899;0,4475218;0,5517994;2,750446;0,2735869;0,4381559;2,785468;0,1866769;0,1787078;2,842358;0,1545218;0,4013354;2,776038;0,1599458;0,4855186;2,756405;0,6226709;0,4211279;2,707721;0,8331582;0,4218805;2,649829;0,8233503;0,6688577;2,616692;0,8003242;0,7701938;2,607306;0,2946208;0,06641977;2,726603;-0,05436561;-0,1723194;2,623087;-0,09556276;-0,57448;2,609406;-0,1997778;-0,6075559;2,591186;0,4598993;0,03776942;2,69078;0,3909429;-0,4637021;2,665829;0,3680219;-0,8401119;2,682652;0,3550951;-0,9065829;2,614342; 
0,4464051;0,736882;2,700258;0,3896253;0,1310828;2,717681;0,4094658;0,1945247;2,766358;0,4477626;0,5515894;2,751029;0,2737736;0,4382762;2,786442;0,1872234;0,1788604;2,842578;0,1550683;0,401488;2,776263;0,1604907;0,4856469;2,756636;0,6225369;0,4212111;2,707746;0,8329656;0,4218929;2,649658;0,823478;0,6687953;2,616437;0,8002994;0,7700997;2,607106;0,2962122;0,06609592;2,727214;-0,05342579;-0,171007;2,622175;-0,09436276;-0,5735828;2,60897;-0,1653512;-0,6186467;2,591864;0,4613193;0,03824977;2,691013;0,3913191;-0,4639206;2,666177;0,3675202;-0,8410373;2,683037;0,3550877;-0,9070586;2,614658; 
0,4470652;0,7400741;2,701573;0,3897393;0,1311949;2,718203;0,4096368;0,1946578;2,766912;0,4478373;0,5519031;2,75169;0,2741433;0,4384518;2,787181;0,1872945;0,1789613;2,842709;0,1551394;0,4015889;2,776399;0,1605604;0,4857257;2,756777;0,6227634;0,4213623;2,707965;0,8331934;0,4209097;2,650128;0,8238418;0,6675662;2,616271;0,8003494;0,7700792;2,606544;0,2964516;0,06628367;2,727968;-0,05288562;-0,170587;2,621519;-0,09431499;-0,5735797;2,608768;-0,1693615;-0,6174086;2,59071;0,4613439;0,03825883;2,691217;0,3912066;-0,4637204;2,667012;0,3672318;-0,8414321;2,683439;0,3552384;-0,9074782;2,614348; 
0,4474244;0,7409953;2,701674;0,3898434;0,1311687;2,718532;0,4097791;0,194671;2,767244;0,4479795;0,5521338;2,75204;0,2744374;0,4387436;2,78762;0,1878712;0,1793252;2,843301;0,1557161;0,4019528;2,776995;0,1611357;0,4860675;2,757378;0,6229379;0,421322;2,70808;0,8333298;0,4211341;2,650217;0,8237265;0,6681828;2,616328;0,8009626;0,7710789;2,607189;0,2966143;0,06631402;2,728426;-0,05252638;-0,1702716;2,620886;-0,09483991;-0,5731266;2,608067;-0,198668;-0,6061886;2,587917;0,461388;0,03816065;2,691388;0,3916356;-0,4618051;2,668083;0,3672622;-0,8412392;2,683632;0,3497407;-0,9047285;2,634944; 
0,4477943;0,7419941;2,702577;0,3903057;0,1309283;2,718999;0,4100704;0,1946031;2,767703;0,4481496;0,5527191;2,752526;0,2745757;0,438566;2,787785;0,1879693;0,1794697;2,84332;0,1558142;0,4020973;2,777018;0,1612324;0,4861902;2,757406;0,6232828;0,42215;2,709004;0,8335162;0,421;2,650306;0,8237368;0,6681731;2,61637;0,8010773;0,7710342;2,607092;0,2972297;0,06618713;2,728795;-0,05206883;-0,1695405;2,620021;-0,09433208;-0,5723487;2,60692;-0,1797508;-0,6159517;2,587007;0,4619014;0,03776673;2,691993;0,3920372;-0,4622672;2,66876;0,3675317;-0,8419091;2,683275;0,3523426;-0,9053359;2,629409; 
0,4483006;0,7433162;2,704067;0,3904448;0,1307084;2,71967;0,4103384;0,1943914;2,768489;0,4485004;0,5530863;2,753731;0,2750672;0,4388418;2,788615;0,1880454;0,1793925;2,843478;0,1558903;0,4020201;2,777182;0,1613071;0,4860918;2,757574;0,6232508;0,4221061;2,709147;0,8334681;0,421285;2,650556;0,8237422;0,6681822;2,616431;0,8010117;0,7710835;2,607167;0,2975329;0,06620543;2,729608;-0,05156493;-0,1691387;2,619498;-0,09365684;-0,5726219;2,606857;-0,1758466;-0,6172555;2,587291;0,4618866;0,03753152;2,692369;0,3920094;-0,4637327;2,669408;0,367431;-0,8420471;2,68315;0,3525707;-0,9068825;2,621882; 
0,4488057;0,7411296;2,705583;0,3911656;0,1298477;2,719905;0,410916;0,1937114;2,768849;0,4486029;0,5529381;2,754164;0,2753192;0,4387552;2,788577;0,188297;0,1793825;2,843635;0,1561419;0,4020101;2,777342;0,1615574;0,4860603;2,75774;0,6231595;0,4222008;2,70923;0,8333459;0,4216257;2,650644;0,8237626;0,6681643;2,616468;0,8009722;0,7711507;2,607232;0,2986418;0,06571249;2,729912;-0,05105653;-0,1683911;2,619266;-0,09324243;-0,5727348;2,606153;-0,1741628;-0,6178391;2,587561;0,4625196;0,03652094;2,69235;0,3920668;-0,4637802;2,669431;0,3678829;-0,8424035;2,683034;0,3528613;-0,9073915;2,621131; 
0,4494292;0,7429002;2,705803;0,3913758;0,1305106;2,720493;0,4109816;0,1943489;2,769707;0,4485924;0,5538688;2,755453;0,275504;0,4387784;2,78861;0,188529;0,1793307;2,843655;0,1563739;0,4019583;2,777367;0,161788;0,4859869;2,75777;0,6241053;0,4237658;2,710494;0,8340649;0,4217401;2,650672;0,8238;0,6680941;2,616648;0,8008467;0,7706509;2,606733;0,2987837;0,06591414;2,73014;-0,050598;-0,1684082;2,61921;-0,09308316;-0,571788;2,604663;-0,1726755;-0,6176654;2,587013;0,4628062;0,03764093;2,693057;0,3919993;-0,4640276;2,669571;0,3674966;-0,8427704;2,682956;0,3523843;-0,9077376;2,61848; 
0,4494998;0,7436925;2,705963;0,3915204;0,1310466;2,721108;0,4110964;0,1947183;2,770634;0,4478331;0,5541642;2,757084;0,2753807;0,4388315;2,78955;0,1881636;0,1788883;2,844318;0,1560086;0,4015159;2,778034;0,1614214;0,4855258;2,758441;0,6242488;0,4241292;2,711139;0,8342301;0,4224458;2,651689;0,8238599;0,6679013;2,617019;0,7998731;0,7714172;2,607965;0,2989187;0,06601616;2,730655;-0,05014706;-0,1683349;2,618996;-0,08943887;-0,5698545;2,602669;-0,194755;-0,5966359;2,580972;0,4631076;0,03832555;2,69336;0,3924958;-0,4621804;2,669925;0,3668539;-0,8419121;2,682684;0,3450798;-0,906217;2,636867; 
0,4485143;0,7409723;2,709044;0,3915249;0,1310472;2,721295;0,4112168;0,1946206;2,771065;0,4475273;0,5539302;2,757572;0,2749327;0,4386722;2,790877;0,1882634;0,1786967;2,84454;0,1561083;0,4013243;2,77826;0,16152;0,4853169;2,758672;0,6230547;0,4247352;2,711916;0,8330071;0,4233358;2,652484;0,8236169;0,6675404;2,617639;0,7995355;0,7718875;2,609528;0,2990534;0,06589974;2,731035;-0,04981557;-0,1683643;2,618821;-0,09268914;-0,5697571;2,601043;-0,1690311;-0,60806;2,584364;0,4630964;0,03842888;2,693398;0,3923858;-0,4611658;2,669941;0,366707;-0,8411863;2,682826;0,3454075;-0,9058293;2,637332; 
0,4489326;0,7421131;2,710387;0,3918295;0,1311761;2,721745;0,4116118;0,1947081;2,771818;0,4474818;0,5544374;2,758538;0,2749065;0,438489;2,792068;0,1883358;0,1788367;2,84464;0,1561808;0,4014643;2,778364;0,1615914;0,4854392;2,75878;0,6225138;0,4249135;2,712599;0,8323461;0,424068;2,652605;0,823342;0,6678685;2,61844;0,7992446;0,7719179;2,610611;0,2994791;0,06583137;2,731366;-0,0495199;-0,1678622;2,618559;-0,09229724;-0,5691504;2,60043;-0,1648846;-0,6088756;2,58322;0,4635431;0,03910799;2,69399;0,392324;-0,4609937;2,670041;0,366581;-0,840773;2,68325;0,3459601;-0,905771;2,638026; 
0,4491763;0,744374;2,711267;0,3918203;0,1313573;2,722205;0,411665;0,1948147;2,772606;0,4471068;0,5546345;2,759415;0,2746089;0,4390073;2,792759;0,1884476;0,1782927;2,845006;0,1562926;0,4009202;2,778734;0,1617021;0,4848797;2,759154;0,6219715;0,4249513;2,712808;0,8317752;0,4248623;2,652847;0,8231782;0,6677772;2,619234;0,8009014;0,7739643;2,615243;0,299555;0,06587207;2,731949;-0,04913008;-0,167832;2,618384;-0,09218396;-0,568771;2,599869;-0,163084;-0,6103212;2,582726;0,4635479;0,03942227;2,694202;0,3921682;-0,460567;2,670486;0,3667909;-0,8392619;2,683575;0,3487383;-0,9043972;2,637524; 
0,447762;0,7414111;2,714633;0,3917818;0,1311105;2,722402;0,4117209;0,1944641;2,773181;0,4468979;0,5546352;2,760375;0,2744205;0,4391684;2,793272;0,1885333;0,1783499;2,844982;0,1563782;0,4009774;2,778714;0,1617871;0,4849256;2,759137;0,6205783;0,4251739;2,713188;0,8302639;0,425161;2,652699;0,8226674;0,6680314;2,620341;0,7989954;0,7761155;2,6191;0,2996519;0,06557825;2,732274;-0,04904616;-0,1677224;2,618104;-0,09290472;-0,5673033;2,598826;-0,1628976;-0,6112782;2,582186;0,4635102;0,03939041;2,694171;0,3920771;-0,4608014;2,670621;0,3671787;-0,839989;2,683394;0,353104;-0,9051106;2,627388; 
0,4478372;0,7433994;2,715502;0,3915818;0,1317142;2,723068;0,4117022;0,1949979;2,774098;0,4466204;0,5550339;2,760936;0,2737463;0,4390174;2,795117;0,1885025;0,1785315;2,845248;0,1563475;0,4011591;2,778984;0,1617557;0,4850983;2,759409;0,6202132;0,4255766;2,713915;0,829872;0,4243614;2,653529;0,8222892;0,6682649;2,621365;0,7984474;0,777626;2,621324;0,2995137;0,06599312;2,732774;-0,04879329;-0,1675561;2,618105;-0,09220556;-0,5669478;2,598494;-0,1625752;-0,6117731;2,58192;0,4632854;0,0401385;2,694815;0,3921027;-0,4606548;2,670719;0,3670576;-0,8400266;2,683352;0,3526983;-0,9051569;2,626164; 
0,4476945;0,7437195;2,715805;0,3913633;0,1319222;2,723536;0,4116403;0,1950943;2,774891;0,4466056;0,5551814;2,761878;0,2732368;0,439334;2,796175;0,1882779;0,1790677;2,845391;0,1561228;0,4016953;2,779131;0,1615306;0,4856266;2,759558;0,6198229;0,4256227;2,714275;0,8294497;0,424477;2,653949;0,8218203;0,6682253;2,622116;0,7978496;0,7782792;2,622283;0,2992834;0,06609027;2,733185;-0,04872221;-0,1675728;2,618064;-0,09374862;-0,567819;2,59782;-0,1634428;-0,6126415;2,581678;0,4630187;0,04046214;2,695121;0,3919135;-0,4606803;2,670918;0,3673813;-0,8398;2,684051;0,3529896;-0,9049508;2,627391; 
0,4458126;0,7407049;2,718131;0,3906211;0,1321433;2,724171;0,4109173;0,195225;2,775739;0,4455661;0,5549211;2,76228;0,2723581;0,4389485;2,796491;0,1883927;0,1791213;2,845433;0,1562377;0,4017489;2,779178;0,1616449;0,4856716;2,759607;0,6190817;0,425625;2,714556;0,8283162;0,4391493;2,654747;0,8214898;0,6680338;2,622374;0,7968519;0,7774946;2,621974;0,2985057;0,06619395;2,733697;-0,0490132;-0,1678806;2,618153;-0,09397432;-0,5669359;2,597625;-0,1638555;-0,6133009;2,581566;0,4623819;0,04082347;2,695847;0,3919712;-0,4608232;2,671268;0,3675439;-0,8397059;2,683565;0,3537878;-0,9061399;2,622364; 
0,4454936;0,7413389;2,718545;0,3906607;0,1325228;2,724824;0,4109993;0,1954711;2,776629;0,4453694;0,5548667;2,763147;0,2721248;0,4391405;2,79694;0,1882867;0,1795214;2,845619;0,1561316;0,402149;2,779368;0,1615383;0,4860629;2,759799;0,6188703;0,4257762;2,714713;0,8279321;0,4394534;2,654103;0,8207319;0,6683173;2,622655;0,7959983;0,7774877;2,621775;0,2986235;0,06642414;2,734224;-0,04869434;-0,1676535;2,618293;-0,09371316;-0,5655649;2,597654;-0,1621319;-0,6132046;2,581449;0,4623814;0,04133533;2,696404;0,3918644;-0,4608534;2,671407;0,3669987;-0,84105;2,68407;0,3536173;-0,9070566;2,621045; 
0,4438383;0,7391564;2,720372;0,3895721;0,132729;2,725778;0,4098299;0,1954062;2,77794;0,4437342;0,554198;2,765275;0,2718758;0,4393251;2,797201;0,187238;0,1788036;2,846317;0,1550829;0,4014312;2,78007;0,160489;0,4853368;2,760503;0,6182404;0,4255707;2,715216;0,8273976;0,4347337;2,653897;0,8204978;0,6681562;2,622746;0,7956301;0,7775948;2,621503;0,2975276;0,06649695;2,735087;-0,04918024;-0,1679578;2,618257;-0,09364597;-0,5655452;2,597526;-0,1946384;-0,6056362;2,577263;0,461423;0,04177722;2,697052;0,3921411;-0,4599921;2,671831;0,3671977;-0,8410955;2,684114;0,354121;-0,9070044;2,620858; 
