;0,1689075;0,7066702;2,529287;0,155153;0,0888868;2,493605;0,1650487;0,1511669;2,552654;0,1944582;0,5183645;2,553699;0,01721115;0,3924595;2,5563;-0,09083812;0,1702699;2,58763;-0,2086145;-0,06353177;2,579358;-0,2176653;-0,1334722;2,581687;0,3840603;0,4255992;2,538609;0,6454396;0,4086721;2,552823;0,8790702;0,3994364;2,571568;0,9569471;0,3963579;2,582573;0,06526151;0,006677145;2,490669;-0,08987194;-0,4457996;2,483958;-0,2331243;-0,7958394;2,413097;-0,2924446;-0,8209742;2,342238;0,2300523;0,007281292;2,468176;0,2322599;-0,4910544;2,504574;0,2402934;-0,8298004;2,510916;0,2810761;-0,9011801;2,443606; 
0,1642905;0,7099158;2,527754;0,1532203;0,08953821;2,493252;0,1629611;0,1517962;2,552317;0,1913722;0,5189323;2,553513;0,01395567;0,3931413;2,556153;-0,09276152;0,1701745;2,588089;-0,2109976;-0,06144738;2,578833;-0,2198718;-0,1347126;2,581845;0,3815444;0,4255351;2,538191;0,6552927;0,4048132;2,552796;0,8888714;0,3975073;2,571948;0,966731;0,395072;2,583088;0,06285708;0,007344862;2,490438;-0,09730078;-0,4962786;2,486854;-0,2061023;-0,8147585;2,425334;-0,2821309;-0,8312153;2,338853;0,2288429;0,007718071;2,467675;0,2332042;-0,478003;2,500303;0,2402028;-0,8300222;2,510776;0,2811506;-0,9013193;2,442928; 
0,1575443;0,7114618;2,526242;0,1477802;0,08970541;2,492909;0,1564011;0,1519329;2,552105;0,1819246;0,5191026;2,553999;-0,0001337864;0,3916683;2,55133;-0,1003372;0,1675841;2,587847;-0,2173926;-0,06008577;2,577506;-0,2277832;-0,1350285;2,580338;0,3727317;0,4251276;2,536965;0,6188148;0,3898246;2,547611;0,8526087;0,3905075;2,565095;0,8638388;0,30978;2,537202;0,05722937;0,007089175;2,489104;-0,0953338;-0,4989376;2,486305;-0,1917902;-0,8223215;2,426517;-0,2560023;-0,8560026;2,333221;0,2247002;0,007671005;2,467847;0,2323424;-0,478521;2,499781;0,2398357;-0,8307449;2,510414;0,2810562;-0,9017081;2,442504; 
0,1426378;0,7098072;2,526789;0,1395272;0,08861466;2,492225;0,1476189;0,1510371;2,551384;0,1729123;0,5186392;2,552814;-0,01189822;0,3917519;2,548263;-0,1095207;0,1652084;2,586996;-0,2282749;-0,05782489;2,575972;-0,2426298;-0,13636;2,57542;0,3579546;0,4232474;2,53606;0,6153707;0,3843068;2,54627;0,849104;0,3683953;2,559213;0,8610811;0,2879726;2,531503;0,05022803;0,005931181;2,48722;-0,08711438;-0,5106695;2,48538;-0,163492;-0,832773;2,430431;-0,2062602;-0,8826056;2,339227;0,2156607;0,006771391;2,468747;0,230874;-0,4794451;2,499628;0,239469;-0,8310633;2,509899;0,2810312;-0,9016963;2,441992; 
0,1331184;0,7076607;2,524841;0,1296656;0,08685346;2,490435;0,1356302;0,1496886;2,549526;0,1543361;0,5183504;2,55002;-0,02668107;0,3895967;2,543721;-0,1264584;0,1644879;2,586301;-0,2383654;-0,0584174;2,573339;-0,2496967;-0,1384218;2,573598;0,342436;0,4230593;2,537915;0,5919415;0,3603114;2,541976;0,822764;0,31852;2,55114;0,8997049;0,3045896;2,558949;0,04181352;0,004136031;2,483486;-0,08195731;-0,5146718;2,48545;-0,1497266;-0,8347129;2,434812;-0,1744267;-0,8881516;2,361429;0,2070892;0,005435433;2,469189;0,2285198;-0,4808052;2,499315;0,2390237;-0,8314314;2,509599;0,2806934;-0,9016452;2,441977; 
0,1169116;0,7092257;2,522853;0,1190778;0,0863585;2,489202;0,1234903;0,1490479;2,548202;0,1379694;0,5160155;2,548116;-0,0473862;0,3916008;2,542201;-0,1391647;0,1600771;2,584829;-0,2481167;-0,06502154;2,568144;-0,2563603;-0,1400251;2,569443;0,325386;0,4194742;2,538692;0,572139;0,3400888;2,539804;0,7988338;0,277179;2,539042;0,8874103;0,2671686;2,54547;0,03095279;0,003623604;2,478854;-0,07800055;-0,5154793;2,485154;-0,1250845;-0,8412299;2,44206;-0,1463526;-0,9004166;2,379335;0,1984744;0,004472191;2,470929;0,2230514;-0,4832269;2,497516;0,2382283;-0,832656;2,50853;0,2800214;-0,9020434;2,4422; 
0,1009419;0,7020139;2,521609;0,1031732;0,08207131;2,486348;0,1067279;0,1444746;2,545262;0,1211131;0,5097206;2,544702;-0,06653568;0,3876943;2,538662;-0,1548849;0,1563241;2,582454;-0,2586705;-0,07238089;2,562;-0,2641392;-0,1449791;2,562121;0,3040479;0,4112633;2,538656;0,5373762;0,2988334;2,539329;0,7643848;0,235959;2,525602;0,8536826;0,2311672;2,531506;0,01546929;-0,0003025637;2,47439;-0,07342476;-0,5135645;2,484294;-0,1099527;-0,8442111;2,450014;-0,1368378;-0,9031545;2,386081;0,1836459;-0,0002076824;2,470078;0,2164629;-0,4888572;2,496351;0,23802;-0,8344917;2,507779;0,2790485;-0,9017501;2,441809; 
0,08115671;0,6956277;2,516483;0,09038594;0,07781191;2,484051;0,09144451;0,1399203;2,543442;0,09837387;0,5065496;2,546566;-0,08017012;0,384245;2,53458;-0,1698212;0,1498205;2,58096;-0,2669102;-0,07693698;2,553718;-0,2732912;-0,1520009;2,547983;0,2848043;0,4061273;2,542564;0,5028344;0,2628378;2,533406;0,7205073;0,1732242;2,513097;0,8065748;0,1486783;2,519501;0,005349887;-0,003796777;2,469931;-0,06760918;-0,5099502;2,483134;-0,107042;-0,8433995;2,451148;-0,1346731;-0,9036149;2,389469;0,1716917;-0,003431339;2,469438;0,2108469;-0,4933488;2,495906;0,2376515;-0,8356186;2,506844;0,2789425;-0,9019215;2,441211; 
0,06838657;0,6941976;2,514591;0,07656476;0,07542346;2,481973;0,076042;0,1370011;2,542158;0,08197212;0,5046519;2,55003;-0,1014908;0,3826674;2,531124;-0,1902072;0,1400886;2,57335;-0,2734154;-0,08433558;2,539848;-0,2774623;-0,1602552;2,540221;0,2683961;0,3990847;2,545418;0,4673896;0,2308759;2,533287;0,6718978;0,1174268;2,492134;0,7247669;0,1013313;2,487109;-0,008803575;-0,006435453;2,463547;-0,06719564;-0,5075489;2,482409;-0,102818;-0,8421201;2,451436;-0,1324861;-0,9030343;2,391732;0,1587964;-0,006054698;2,469089;0,2033896;-0,4992467;2,494415;0,2374875;-0,8374466;2,506166;0,2786183;-0,9019333;2,440969; 
0,04528735;0,6904697;2,508611;0,06194358;0,07356367;2,478482;0,05834105;0,1353506;2,53836;0,05323197;0,502714;2,543985;-0,1182669;0,38147;2,529566;-0,2002843;0,1377355;2,570214;-0,2771944;-0,08896881;2,524309;-0,2795679;-0,1675465;2,521742;0,2437788;0,3967648;2,549754;0,442844;0,2032149;2,531829;0,6192152;0,05416128;2,471946;0,6625357;0,02786857;2,464441;-0,01967945;-0,007926127;2,458554;-0,06770781;-0,5055679;2,482106;-0,09974045;-0,8408959;2,453749;-0,1308774;-0,9019067;2,392752;0,1454283;-0,007174625;2,468263;0,1953688;-0,5052155;2,493211;0,2377771;-0,8391021;2,505112;0,278838;-0,9022569;2,440623; 
0,02655824;0,6868345;2,504073;0,04622281;0,07288039;2,47522;0,04245827;0,1346205;2,535113;0,03797701;0,5018234;2,540973;-0,1433608;0,382847;2,530773;-0,2214152;0,1284598;2,560904;-0,2814375;-0,1063816;2,50076;-0,2812155;-0,1714244;2,513764;0,2263629;0,3938785;2,549634;0,3972417;0,1642954;2,534009;0,5553721;-0,002487898;2,468861;0,6126831;-0,02007621;2,454566;-0,03511367;-0,009200945;2,453402;-0,07366189;-0,50165;2,482295;-0,09898586;-0,8406162;2,455167;-0,130296;-0,9019464;2,394663;0,1305934;-0,008031212;2,466669;0,1904605;-0,5065108;2,489985;0,2351469;-0,8397174;2,503396;0,2784558;-0,9021463;2,439864; 
0,008442232;0,6894318;2,498588;0,02759087;0,0712999;2,470498;0,02435949;0,1330097;2,530649;0,01947986;0,5008045;2,537653;-0,1550038;0,3819312;2,528229;-0,2340549;0,125144;2,556068;-0,2859398;-0,1063562;2,492884;-0,2880723;-0,175446;2,493001;0,1922297;0,4000492;2,544402;0,3446335;0,1368936;2,533492;0,4726236;-0,05453816;2,470085;0,522787;-0,09285609;2,450027;-0,05087867;-0,009451466;2,448601;-0,08040649;-0,4995458;2,482955;-0,09863242;-0,8393082;2,456135;-0,1301945;-0,9018419;2,394833;0,1090178;-0,00709037;2,462364;0,1771236;-0,5028207;2,482026;0,2314792;-0,8382417;2,500905;0,2775565;-0,9024101;2,438759; 
-0,007844705;0,6909949;2,495705;0,01392641;0,07077898;2,467057;0,009728522;0,1328751;2,52711;-0,002323817;0,5023084;2,533462;-0,1739816;0,3827546;2,528906;-0,2477943;0,1228945;2,547621;-0,2881992;-0,1048855;2,477231;-0,2881902;-0,1721882;2,463364;0,1783793;0,4002117;2,543305;0,2910108;0,1196991;2,533159;0,3889295;-0,08937439;2,472293;0,4132846;-0,1502792;2,463666;-0,06285571;-0,009569243;2,445351;-0,08571358;-0,4980394;2,481968;-0,09873102;-0,8390827;2,456359;-0,1302108;-0,9018682;2,394911;0,09622572;-0,006525465;2,459347;0,170475;-0,5070474;2,478304;0,2283675;-0,8385917;2,495041;0,2768682;-0,9026624;2,434192; 
-0,01922876;0,6879073;2,492856;0,005266175;0,07071768;2,465028;0,001739148;0,1327069;2,525447;-0,006511186;0,502581;2,533423;-0,1836559;0,383619;2,527695;-0,2542604;0,1246205;2,542743;-0,292496;-0,1043183;2,463614;-0,2910672;-0,1705036;2,454781;0,1687378;0,3972749;2,54208;0,2502707;0,11049;2,53407;0,3109724;-0,1159108;2,471536;0,3406801;-0,1911174;2,459548;-0,07197563;-0,009136271;2,442332;-0,09434316;-0,4943159;2,480209;-0,09891508;-0,8388948;2,458168;-0,130462;-0,9019457;2,395115;0,08627677;-0,006650275;2,457446;0,1633818;-0,5081264;2,473981;0,2172801;-0,8381461;2,490185;0,2750092;-0,9025099;2,431385; 
-0,03592459;0,686902;2,488407;-0,005338599;0,06858835;2,46139;-0,009610854;0,1308969;2,521588;-0,02232661;0,5016753;2,528552;-0,1955836;0,3834248;2,525548;-0,2656975;0,1263828;2,533131;-0,2956479;-0,1031201;2,449377;-0,2926084;-0,1678962;2,43618;0,1471621;0,3925711;2,537395;0,2173523;0,1186457;2,531567;0,2519696;-0,1103669;2,474364;0,2716595;-0,1949462;2,452574;-0,0796961;-0,01038562;2,440381;-0,09880619;-0,4934618;2,479511;-0,0993115;-0,8375153;2,458653;-0,1311211;-0,902233;2,39552;0,07497893;-0,007248606;2,453107;0,1564112;-0,5060939;2,468474;0,2083553;-0,8374032;2,487335;0,2733359;-0,9027451;2,430741; 
-0,04641222;0,6875467;2,485764;-0,01382281;0,06948739;2,457666;-0,01920692;0,1318211;2,517689;-0,03807859;0,501948;2,523915;-0,2076542;0,3833828;2,522292;-0,2723901;0,1269854;2,526408;-0,3012839;-0,0968552;2,43868;-0,3032413;-0,1652599;2,417952;0,1352689;0,3937552;2,534291;0,1907718;0,1322501;2,529267;0,2293958;-0,09577478;2,470513;0,2254772;-0,1571019;2,446061;-0,0877864;-0,009595104;2,435114;-0,1035566;-0,4920716;2,477526;-0,09972501;-0,83735;2,458437;-0,1315767;-0,9024295;2,395805;0,06796753;-0,005499266;2,451173;0,1484318;-0,5032104;2,463811;0,2056224;-0,8374659;2,484503;0,2693319;-0,9020953;2,43274; 
-0,05459611;0,6883892;2,48289;-0,02199644;0,0711313;2,45347;-0,02785868;0,1328975;2,513721;-0,04588226;0,5018253;2,521472;-0,2191161;0,3839056;2,518571;-0,280879;0,1317749;2,513707;-0,3085014;-0,09175437;2,415318;-0,3081565;-0,1654992;2,393673;0,128179;0,3949839;2,533829;0,1878119;0,129786;2,528567;0,2255752;-0,09702435;2,463574;0,2247477;-0,1595327;2,44208;-0,09600053;-0,00840007;2,429691;-0,1078465;-0,4907624;2,475011;-0,09969526;-0,8372611;2,458355;-0,1322053;-0,9025649;2,39583;0,06037048;-0,003644857;2,447625;0,1418752;-0,5047648;2,461022;0,1961468;-0,8412991;2,479037;0,2656951;-0,9029406;2,428712; 
-0,06262947;0,6891322;2,480909;-0,0299635;0,07297836;2,450511;-0,03659083;0,1343535;2,51076;-0,0531771;0,5020465;2,518895;-0,2281232;0,3822913;2,515561;-0,2914778;0,1297775;2,501988;-0,3108054;-0,0914215;2,406566;-0,3094136;-0,1660424;2,385554;0,1217295;0,4010675;2,53813;0,187116;0,1287717;2,527376;0,2141963;-0,09978709;2,438999;0,2233569;-0,163576;2,424676;-0,1046887;-0,00755536;2,426208;-0,1114725;-0,4925049;2,472858;-0,1011091;-0,8365082;2,457404;-0,1321789;-0,9025964;2,395936;0,05333817;-0,002195953;2,444842;0,1297496;-0,5093994;2,457677;0,183822;-0,8406389;2,469666;0,2559016;-0,9005914;2,422088; 
-0,0719474;0,6896688;2,476645;-0,03634883;0,07354055;2,447782;-0,04389342;0,1347235;2,508191;-0,06349552;0,5027968;2,517795;-0,2339639;0,3812745;2,512769;-0,2985627;0,1257504;2,490614;-0,3168543;-0,09147501;2,38748;-0,3137836;-0,1653167;2,367018;0,1169002;0,4016337;2,538172;0,1883481;0,1271139;2,523391;0,216805;-0,09999368;2,432648;0,2239871;-0,1614572;2,409815;-0,1111592;-0,007506601;2,422441;-0,1141434;-0,4931971;2,470802;-0,1016125;-0,8361331;2,457046;-0,1322979;-0,9026983;2,395976;0,04796299;-0,001322754;2,442525;0,1211324;-0,5124997;2,455286;0,1744501;-0,8441364;2,463954;0,2457606;-0,903061;2,40672; 
-0,07775726;0,6905794;2,474424;-0,03985472;0,07401972;2,445764;-0,04844869;0,1351285;2,506058;-0,07029966;0,502724;2,515325;-0,2416644;0,3790987;2,508432;-0,3032451;0,1292084;2,4823;-0,320836;-0,08735572;2,377518;-0,3167973;-0,1602059;2,346026;0,111979;0,4024662;2,538253;0,1900894;0,1313774;2,513971;0,2247801;-0,09460932;2,41919;0,2297216;-0,1562703;2,396406;-0,1141206;-0,00759049;2,420228;-0,1165433;-0,4950329;2,469855;-0,1022437;-0,8356409;2,456756;-0,1325957;-0,9030285;2,396039;0,04504643;-0,0007731171;2,440775;0,1123876;-0,5098338;2,452037;0,1642619;-0,8411916;2,457388;0,2272561;-0,9007599;2,400375; 
-0,084252;0,6893398;2,472375;-0,04474926;0,07469864;2,442482;-0,05366456;0,1353475;2,502859;-0,07585456;0,5014402;2,512683;-0,2481951;0,3768157;2,506282;-0,3118815;0,1271313;2,470497;-0,3230398;-0,09073998;2,368004;-0,3167738;-0,159671;2,336625;0,1081549;0,4031939;2,538203;0,1934608;0,1441038;2,502821;0,2431296;-0,06816271;2,399941;0,2466631;-0,1391519;2,378541;-0,1189707;-0,007892625;2,416865;-0,1185113;-0,4969615;2,468406;-0,1024047;-0,8355714;2,456476;-0,1328597;-0,9033286;2,395884;0,04059497;3,180862E-05;2,437;0,1049854;-0,5184835;2,450189;0,1613148;-0,8433847;2,453794;0,2262715;-0,9010444;2,399508; 
-0,09095585;0,6880133;2,470586;-0,04986448;0,07431321;2,43967;-0,05876642;0,1349359;2,500108;-0,08080278;0,5011998;2,51032;-0,2545466;0,3748886;2,504387;-0,3146061;0,1264977;2,465919;-0,3284175;-0,08609872;2,351876;-0,3178267;-0,1606886;2,327178;0,1042576;0,4036456;2,536652;0,1972893;0,1520164;2,494772;0,2501236;-0,05971339;2,392194;0,2574191;-0,1336841;2,352133;-0,1247051;-0,009421918;2,415277;-0,1210769;-0,4964727;2,466801;-0,1027216;-0,8356416;2,455838;-0,1335566;-0,9040072;2,397086;0,03582374;-4,098222E-05;2,432338;0,1022607;-0,520101;2,448981;0,1582645;-0,8459271;2,452714;0,2254819;-0,900984;2,398684; 
-0,09544694;0,6879129;2,469632;-0,0531851;0,07198551;2,437252;-0,06162653;0,1328903;2,497889;-0,08287302;0,5005506;2,508898;-0,2580935;0,3738978;2,50247;-0,3198306;0,1278922;2,456169;-0,329614;-0,08511324;2,342711;-0,3203214;-0,1613335;2,318083;0,09759742;0,4024021;2,532819;0,1963645;0,1577763;2,488482;0,2575824;-0,05102276;2,377398;0,2617875;-0,1299106;2,341613;-0,1276952;-0,01157259;2,413449;-0,1227771;-0,4972633;2,465311;-0,1031897;-0,8358397;2,454616;-0,1336271;-0,9040708;2,397206;0,0321648;-0,002181089;2,429408;0,1002678;-0,5214415;2,447729;0,1583082;-0,8461317;2,452544;0,2252299;-0,9013684;2,398041; 
-0,09913822;0,6868252;2,468687;-0,0546485;0,07165152;2,435641;-0,06293191;0,1325722;2,496311;-0,08463003;0,5004249;2,507458;-0,2610207;0,3727019;2,500662;-0,3188698;0,1280335;2,450133;-0,3307451;-0,08431126;2,335705;-0,323049;-0,1612461;2,309183;0,09351289;0,4019425;2,529545;0,1946011;0,1622924;2,482539;0,2583463;-0,0412789;2,366538;0,2660318;-0,1214631;2,328865;-0,1289178;-0,01194163;2,412521;-0,1231686;-0,4980523;2,464879;-0,1038175;-0,8361065;2,453488;-0,133631;-0,9041032;2,397158;0,03056094;-0,002202746;2,426946;0,09876393;-0,5239946;2,447175;0,1584065;-0,8462489;2,452317;0,2250037;-0,9014779;2,397656; 
